Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,TECHSUMMARY,Munish Bhopal,29-Jul-2022 11:44 AM,technical_94265.pdf,1.0,291547.0,BELTEX ENGINEERING SERVICES,18-Jul-2022 04:32 PM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,29-Jul-2022 11:55 AM,Finance,finsummary,Munish Bhopal,04-Aug-2022 12:57 PM,finance_94265.pdf,BOQ Comparative Chart,1.0,291773.0,Hipath Technologies,INR,"989,070",ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,04-Aug-2022 12:59 PM,finsummary_94265.pdf (303.15 KB),31-Aug-2022,"INR 971,500",180.0,Munish Bhopal,23-Nov-2022 01:42 PM,AOC.pdf (723.00 KB),work awarded to M/s Hipath Technologies being L1 firm,PWD,2022_PWD_62515_1,PW/MED/TA/NIT/ e-notice/22-23-2425-35 dt 30.06.22,Special repair and reinstallation testing and commissioning of Fire alarm system installed at Shri lal bahadur Shastri Government Medical college and Hospital Nerchowk Distt Mandi HP,ER MUNISH BHOPAL EE,Internal,sr Asstt Sr Asstt JDM,Munish Bhopal,29-Jul-2022 11:55 AM,30-Jul-2022 10:30 AM,techsummary_94265.pdf (355.69 KB),AOC,"19,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/22-23-2425-35 dt 30.06.22,2022_PWD_62515_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,12-Jul-2022 10:00 AM,19-Jul-2022 11:00 AM,12-Jul-2022 10:00 AM,19-Jul-2022 10:00 AM,NA ,NA ,12-Jul-2022 10:00 AM,19-Jul-2022 10:00 AM,30-Jul-2022 10:30 AM,1.0,ICICI BANK,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",350.0,Nil,Nil,No,Special repair and reinstallation testing and commissioning of Fire alarm system installed at Shri lal bahadur Shastri Government Medical college and Hospital Nerchowk Distt Mandi HP,Special repair and reinstallation testing and commissioning of Fire alarm system installed at Shri lal bahadur Shastri Government Medical college and Hospital Nerchowk Distt Mandi HP,PLEASE REFER TO BID DOC ,NA ,"9,71,500",Electrical Works,NA ,Tender,75.0,180.0,NERCHOWK,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,AOC
,,,,,2.0,291773.0,Hipath Technologies,18-Jul-2022 05:25 PM,Accepted-AOC,work awarded to M/s Hipath Technologies being L1 firm,23-Nov-2022 01:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Approved OEM of Fire Alarm System or authorized agency of approved OEM Fire alarm,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,291667.0,Koushal General Traders,19-Jul-2022 09:49 AM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,29-Jul-2022 11:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Bidder address format with valid email and phone numbers,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,291850.0,Saar Technologies,19-Jul-2022 09:40 AM,Rejected-Finance,rejected being L2 firm,04-Aug-2022 12:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
