S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,237630.0,AnKServices,INR,"958,100",Finance,finsummary,Munish Bhopal,05-Oct-2021 04:08 PM,finance_78110.pdf,BOQ Comparative Chart,Technical,techsummary,Munish Bhopal,25-Sep-2021 03:10 PM,technical_78110.pdf,1.0,237630.0,AnKServices,24-Sep-2021 09:39 AM,Accepted-AOC,WORK AWARDED TO M/S ANK SERVICES BEING L1 FIRM,21-Nov-2022 12:12 PM,27-Oct-2021,"INR 959,400",30.0,Munish Bhopal,21-Nov-2022 12:12 PM,AOC.pdf (652.00 KB),WORK AWARDED TO M/S ANK SERVICES BEING L1 FIRM,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,05-Oct-2021 04:16 PM,finsummary_78110.pdf (297.21 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,25-Sep-2021 03:23 PM,25-Sep-2021 03:30 PM,techsummary_78110.pdf (8613.40 KB),PWD,2021_PWD_52284_1,PW/MED/TA/NIT/ e-notice/21-22-4553-63 dt 08.09.21,"Laying medical copper pipe of various sizes for medical air from Hospital Oxygen plant to make shift Hospital,",AOC,17-Sep-2021 10:00 AM,24-Sep-2021 11:30 AM,17-Sep-2021 10:00 AM,24-Sep-2021 10:00 AM,NA ,NA ,17-Sep-2021 10:00 AM,24-Sep-2021 10:00 AM,25-Sep-2021 03:30 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Laying medical copper pipe of various sizes for medical air from Hospital Oxygen plant to make shift Hospital,","Laying medical copper pipe of various sizes for medical air from Hospital Oxygen plant to make shift Hospital,",please refer to bid document ,NA ,"9,59,400",Electrical Works,NA ,Tender,75.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,DD - Demand Draft,"19,200",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/21-22-4553-63 dt 08.09.21,2021_PWD_52284_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,AOC
,,,,,,,,,,,,,,,,2.0,237566.0,ULTIMED SOLUTION,23-Sep-2021 06:00 PM,Rejected-Finance,Rejected being L2 firm/ contractor,05-Oct-2021 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,OEM (Medical Gas pipe line system) Authorized agency of OEM as per TQC,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
