Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,350.0,Executive Engineer R B M C Shimla,Shimla,No,21-Sep-2022 06:00 PM,30-Sep-2022 02:00 PM,21-Sep-2022 06:00 PM,29-Sep-2022 05:00 PM,NA ,NA ,21-Sep-2022 06:00 PM,29-Sep-2022 05:00 PM,10-Oct-2022 05:00 PM,"18,700",No,fixed,,Executive Engineer R B M C Shimla,Shimla,1.0,DD - Demand Draft,Construction of damaged Retaining wall near Sector 3 Bus Stand ward No 32 New Shimla,Construction of damaged Retaining wall near Sector 3 Bus Stand ward No 32 New Shimla,Please refer Tender Documents ,NA ,"9,33,705",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,Municipal Corporation Shimla,4508Dated16092022,2022_MC_65310_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,EE,Internal,AGM SJPNL AO,Rajesh Thakur,10-Oct-2022 04:55 PM,10-Oct-2022 05:00 PM,techsummary_98342.pdf (1189.47 KB),Municipal Corporation Shimla,2022_MC_65310_14,4508Dated16092022,Construction of damaged Retaining wall near Sector 3 Bus Stand ward No 32 New Shimla,03-Nov-2022,"INR 653,582.8",60.0,Rajesh Thakur,03-Nov-2022 11:02 AM,2022_MC_65310_14.pdf (447.00 KB),AOC,EE,Internal,AGM SJPNL AO,Rajesh Thakur,03-Nov-2022 11:01 AM,finsummary_98342.pdf (314.76 KB),1,305016,Bhaw Singh Chauhan,29-Sep-2022 02:32 PM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,Technical,BOS,Sunil Attri,10-Oct-2022 03:58 PM,technical_98342.pdf,1.0,304951.0,Jai Chand,INR,"653,582",Finance,BOS,Rajesh Thakur,11-Oct-2022 10:41 AM,finance_98342.pdf,BOQ Comparative Chart,AOC
,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,304246,DHANVEER SINGH,27-Sep-2022 11:23 AM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,305064,Gaurav Chauhan,29-Sep-2022 03:43 PM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,304765,Hukam Singh,28-Sep-2022 06:58 PM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,304951,Jai Chand,29-Sep-2022 02:06 PM,Accepted-AOC,Accepted,03-Nov-2022 11:03 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Scanned copy of Letter Head with reference to condition No. 10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,304936,MADAN SINGH,29-Sep-2022 12:42 PM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,305086,mukul thakur,29-Sep-2022 04:26 PM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,304733,NEETA RAM,28-Sep-2022 05:25 PM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,304524,RAM LAL,28-Sep-2022 10:26 AM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,304913,Ranjan public contractor,29-Sep-2022 12:29 PM,Rejected-Finance,Rejected,03-Nov-2022 11:01 AM,,,,,,,,,,,,,,,,,AOC
