Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",1.0,ICICI BANK,PWD,PW/MED/TA/NIT/ e-notice/21-22-10572-81 dt 19.03.22,2022_PWD_58668_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"20,000",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,"Construction of C.H.C Building at BalichoWki, District Mandi HP SH Providing E.I in basement, ground floor, 1st floor therein","Construction of C.H.C Building at BalichoWki, District Mandi HP SH Providing E.I in basement, ground floor, 1st floor therein",PLZ REFER TO BID DOC ,NA ,"9,99,515",Electrical Works,NA ,Tender,75.0,365.0,Balichowki,175106.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,28-Mar-2022 10:00 AM,04-Apr-2022 11:30 AM,28-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,NA ,NA ,28-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,08-Apr-2022 04:15 PM,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,AOC,PWD,2022_PWD_58668_1,PW/MED/TA/NIT/ e-notice/21-22-10572-81 dt 19.03.22,"Construction of C.H.C Building at BalichoWki, District Mandi HP SH Providing E.I in basement, ground floor, 1st floor therein",ER MUNISH BHOPAL EE,Internal,SUPDT SR ASSTT JDM,Munish Bhopal,08-Apr-2022 04:06 PM,08-Apr-2022 04:15 PM,techsummary_88725.pdf (345.70 KB),ER MUNISH BHOPAL EE,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,16-Apr-2022 04:28 PM,finsummary_88725.pdf (303.62 KB),23-May-2022,"INR 999,515",365.0,Munish Bhopal,22-Nov-2022 10:27 AM,AOC.pdf (735.00 KB),work awarded to Sh. Maheshwar Singh Elect Contr being L1,Finance,financial bid summary,Munish Bhopal,16-Apr-2022 04:18 PM,finance_88725.pdf,BOQ Comparative Chart,1.0,274328.0,Mahesh Electrical And Electronich,INR,"999,831",1.0,274677.0,Krishan Pal,02-Apr-2022 04:31 PM,Rejected-Technical,BID RESPONSIVE BUT DISQUALIFIED,08-Apr-2022 04:06 PM,Technical,techsummary,Munish Bhopal,08-Apr-2022 03:57 PM,technical_88725.pdf,AOC
,,.pdf,Valid CONTRACTOR REGISTRATION (Electrical) in appropriate Class B OR C with valid elect license,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274664.0,LAL SINGH CONTRACTOR,02-Apr-2022 02:21 PM,Rejected-Finance,rejected being L2 contr,16-Apr-2022 04:28 PM,,,,,,AOC
,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274328.0,Mahesh Electrical And Electronich,31-Mar-2022 05:17 PM,Accepted-AOC,work awarded being L1 contr,22-Nov-2022 10:28 AM,,,,,,AOC
,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding not been blacklisted and that infor. furnished with the bid is true and correct,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,WORK IN HAND DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
