Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
350.0,Executive Engineer Electrical Division HPPWD Mandi,Mandi,No,PWD,PW-MED-TA-NIT e-tender/20-21-5482-89 dt 27.11.20,2020_PWD_43137_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"17,350",No,fixed,,Executive Engineer Electrical Division HPPWD Mandi,Mandi,Executive Engineer Electrical Division HPPWD Mandi,Executive Engineer Electrical Division HPPWD Mandi,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",11-Dec-2020 10:00 AM,18-Dec-2020 11:30 AM,11-Dec-2020 10:00 AM,18-Dec-2020 10:00 AM,NA ,NA ,11-Dec-2020 10:00 AM,18-Dec-2020 10:00 AM,05-Feb-2021 05:00 PM,Construction of PHC Building Level IV at Chattri Distt Mandi HP SH Providing E I therein,Construction of PHC Building Level IV at Chattri Distt Mandi HP SH Providing E I therein,Please refer to Bid Document ,NA ,,Electrical Works,NA ,Tender,75.0,NA ,Chattri Distt Mandi,175001.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi HP,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,PWD,2020_PWD_43137_1,PW-MED-TA-NIT e-tender/20-21-5482-89 dt 27.11.20,Construction of PHC Building Level IV at Chattri Distt Mandi HP SH Providing E I therein,Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,05-Feb-2021 04:45 PM,05-Feb-2021 05:00 PM,techsummary_63896.pdf (341.04 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,18-Jun-2021 01:12 PM,finsummary_63896.pdf (291.17 KB),10-Feb-2022,"INR 866,167",365.0,Munish Bhopal,21-Nov-2022 03:53 PM,AOC.pdf (754.00 KB),work awarded to Sh. Satpal Elect Contractor being L1,1.0,192174.0,Kashmir Singh,17-Dec-2020 08:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 03:08 PM,Technical,Technical bid summary,Dalip singh Patial,05-Feb-2021 03:03 PM,technical_63896.pdf,Finance,finsummary,Dalip singh Patial,18-Jun-2021 01:07 PM,finance_63896.pdf,BOQ Comparative Chart,1.0,192156.0,SATPAL,INR,"1,001,120",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,192167.0,LAL SINGH CONTRACTOR,17-Dec-2020 05:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,192192.0,M/s Ravindra Electrical,17-Dec-2020 11:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,192188.0,NITIN PROP A VIGHNA ELECTRICALS,17-Dec-2020 10:03 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Jun-2021 01:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,192156.0,SATPAL,17-Dec-2020 04:14 PM,Accepted-AOC,work awarded to Sh. Satpal Elect Contractor being L1,21-Nov-2022 03:54 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,192194.0,Vikas soni,17-Dec-2020 11:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2021 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7.0,192183.0,VISHAL ELECTONICS,17-Dec-2020 08:47 PM,Rejected-Finance,Rejected being L2 firm/ contractor,18-Jun-2021 01:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
