Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025",1.0,SBI Bank,1.0,Corrigendum 2,Date,,Charaibahi Mikirbheta PWD road to IOB Bank in Morigaon District,"APART/NOCP/ROADS/MR-13 Construction of road from Charaibahi Mikirbheta PWD road to IOB Bank to Phaliamari of Hekudangbori village, Mikirbheta Mouza in Morigaon District(length 1.4 KM) under APART",Please refer Tender documents. ,NA ,"2,09,99,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Morigaon District,782001.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",01-Jun-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,"4,19,980",Yes,fixed,,Nil,Nil,"4,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,EMD,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/49/2022/15,2022_PWRDW_25594_22,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,19-May-2022 01:00 PM,27-Jun-2022 02:30 PM,19-May-2022 01:00 PM,27-Jun-2022 02:00 PM,19-May-2022 01:00 PM ,01-Jun-2022 11:00 AM ,19-May-2022 01:00 PM,27-Jun-2022 02:00 PM,12-Oct-2022 02:30 PM,AOC,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Kampi Sonowal,19-Nov-2022 06:37 PM,finsummary_39576.pdf (1244.71 KB),Finance,Financial Bids has been opened,Sanjita Bodo,12-Oct-2022 05:40 PM,,BOQ Comparative Chart,19-Nov-2022,INR 16461969,270.0,Kampi Sonowal,19-Nov-2022 06:38 PM,WO_Rd_Charaibahi_IOB.pdf (96.00 KB),Technical,Technical Bids has been opened,Pallavi Chakravorty,04-Jul-2022 04:55 PM,,1,150703,AFTAB UDDIN AHMED,26-Jun-2022 09:15 PM,Rejected-Technical,As per deicision of Bid Evaluation Committee,11-Oct-2022 08:52 PM,1.0,150999.0,M/S Bright Engineer,INR,16461969.0,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Pallavi Chakravorty,11-Oct-2022 08:52 PM,12-Oct-2022 02:30 PM,techsummary_39576.pdf (174.05 KB),Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25594_22,CE/APART/49/2022/15,Charaibahi Mikirbheta PWD road to IOB Bank in Morigaon District,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,149311,Amit Poddar,21-Jun-2022 06:27 PM,Rejected-Technical,As per deicision of Bid Evaluation Committee,11-Oct-2022 08:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3,150365,ARIFUR RAHMAN,27-Jun-2022 01:49 PM,Rejected-Technical,As per deicision of Bid Evaluation Committee,11-Oct-2022 08:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4,150999,M/S Bright Engineer,22-Jun-2022 08:25 PM,Accepted-AOC,Awarded Contract Bidder,19-Nov-2022 06:39 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5,151911,M/S Sadguru Engineers & Allied Services Pvt. Ltd.,27-Jun-2022 01:06 PM,Rejected-Finance,Rejected as L5,19-Nov-2022 06:37 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,6,150658,MS Trishul Associates,23-Jun-2022 11:49 AM,Rejected-Technical,As per deicision of Bid Evaluation Committee,11-Oct-2022 08:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,7,151925,Nibedita Das Lahon,27-Jun-2022 01:35 PM,Rejected-Technical,As per deicision of Bid Evaluation Committee,11-Oct-2022 08:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,8,150694,PALLAB KUMAR PANDIT,17-Jun-2022 02:26 PM,Rejected-Technical,As per deicision of Bid Evaluation Committee,11-Oct-2022 08:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,9,151755,Ramesh Kr. Agarwalla,25-Jun-2022 08:43 PM,Rejected-Finance,Rejected as L2,19-Nov-2022 06:37 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,10,150577,SAIKIA N ASSOCIATES,17-Jun-2022 05:07 PM,Rejected-Finance,Rejected as L3,19-Nov-2022 06:37 PM,,,,,,,,,,,,,,,,,AOC
