Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM-HPCDP - JICA-ODA - Solan,No. Agr.Sln.DPMU-JICA(G)Veh.(3) Ph-II/2021-22-437,2023_HPCDP_75553_1,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender form as indicated in NIT 3.a.ii,27-Jun-2023 06:00 PM,17-Jul-2023 11:00 AM,27-Jun-2023 06:00 PM,15-Jul-2023 05:00 PM,,,27-Jun-2023 06:00 PM,15-Jul-2023 05:00 PM,17-Jul-2023 12:05 PM,"10,000",No,fixed,,District Project Manager HPCDP JICA ODA Solan,Solan,1.0,Change in Date,Date,,1.0,DD - Demand Draft,"1,000",District Project Manager HPCDP JICA ODA Solan,Solan,No,District Project Manager Solan,DPMU HPCDP JICA at Village Kailer P.O. Saproon Distt. Solan H.P.,Hiring of services of Mahindra Bolero Vehicle (1 no.) on contract Basis in BPMU HPCDP JICA ODA Rampur,Hiring of services of Mahindra Bolero Vehicle (1 no.) on contract Basis in BPMU HPCDP JICA ODA Rampur.,Please refer Tender documents.,,,Miscellaneous Services,Hiring of Vehicle,Tender,90.0,7.0,BPMU HPCDP JICA ODA Rampur,173206.0,,,,Village Kailer P.O. Saproon Distt. Solan H.P.,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,2. Tender Document with every page duly signed by bidder as indicated in NIT 3.a.i,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,3. Earnest money as indicated in NIT 3.a.iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,4. Should have experience of minimum 3 years as indicated in 3.a.iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,5. Bidder should have valid PAN card as indicated in NIT 3.a.v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,6. Copy of GST Registration Certificate as indicated in NIT 3.a.vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,7. Registration Certificate (RC) of the vehicle as indicated in NIT 3.a.vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,8. Undertaking required to be provided as indicated in 3.a.viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
