Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_54736_1,2792-2841,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Solan,1.0,255676.0,Unipro Techno Infrastructure Pvt Ltd,INR,"1,055,009,711",ENC P JSV Mandi,Internal,CE PMU CE SZ SE Solan SE PMU SE ENCP EE ENCP EE PMU EE Baddi EE Solan Dy controller,Suresh Mahajan,28-Sep-2022 01:20 PM,finsummary_82017.pdf (1652.51 KB),Technical,TBER,Suresh Mahajan,03-Mar-2022 04:52 PM,technical_82017.pdf,Finance,MOM,Suresh Mahajan,28-Sep-2022 01:08 PM,finance_82017.pdf,BOQ Comparative Chart,28-Sep-2022,"INR 1,166,718,654",730.0,Suresh Mahajan,28-Sep-2022 01:21 PM,LOASZ03.pdf (549.00 KB),LOA,1.0,258059.0,Laxmi Civil Engineering Services Pvt. Ltd.,27-Jan-2022 05:55 PM,Rejected-Finance,L2,28-Sep-2022 01:20 PM,ENC P JSV Mandi,Internal,CE PMU JSV Mandi CE SZ Shimla SE PMU SE Solan EE ENC P Mandi EE PMU EE Solan Dy Controller,Suresh Mahajan,03-Mar-2022 04:55 PM,05-Mar-2022 03:00 PM,techsummary_82017.pdf (2632.68 KB),AOC,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Solan,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Solan,As per tender documents ,NA ,"78,80,10,000",Civil Works,NA ,Tender,120.0,730.0,Solan,173211.0,CE PMU JSV Mandi ,CE PMU JSV Mandi ,04-Jan-2022 03:00 PM ,CE PMU JSV Mandi,No ,No,1.0,Corrigendum 2,BOQ,,1.0,ICICI BANK,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2792-2841,2021_HPIPH_54736_1,Yes,Global Tenders,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,17-Dec-2021 03:00 PM,28-Jan-2022 11:30 AM,17-Dec-2021 03:00 PM,28-Jan-2022 11:00 AM,NA ,NA ,12-Jan-2022 11:00 AM,28-Jan-2022 11:00 AM,05-Mar-2022 03:00 PM,CE PMU JSV Mandi,CE PMU JSV Mandi,"78,81,000",Yes,fixed,,CE PMU JSV,Mandi,"2,500",CE PMU JSV,Mandi,No,1.0,Fee/PreQual/Technical,.pdf,Tender From cost,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259222.0,SIAN INFRA AND REALCON LLP,28-Jan-2022 04:36 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2022 04:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Corrigendum 5,Date,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money/Bid Security,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,255676.0,Unipro Techno Infrastructure Pvt Ltd,26-Jan-2022 05:16 PM,Accepted-AOC,L1,28-Sep-2022 01:21 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,Corrigendum 4,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last 3 years,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary evidence in accordance to ITB,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Written confirmation authorizing the signatory,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking that I have carefully studied all terms and condition,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of technical bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal in accordance to ITB,AOC
