Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,"1,500",Nil,Nil,No,"59,600",No,fixed,,Nil,Nil,27-Jul-2022 10:00 AM,03-Aug-2022 11:30 AM,27-Jul-2022 10:00 AM,03-Aug-2022 11:00 AM,NA ,NA ,27-Jul-2022 10:00 AM,03-Aug-2022 11:00 AM,16-Aug-2022 11:30 AM,Construction of link road to village Simni-I to Simni-II K.M. 0/0 to 1/0,Formation cutting at R.D. 0/0 to 1/0,Please refer Tender documents. ,NA ,"29,75,848",Civil Works,NA ,Tender,75.0,180.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,1.0,ICICI BANK,PWD,EE Salooni letter No. 6204-54 dated 16-07-2022,2022_PWD_63101_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,293648.0,Vishal Kumar,INR,"2,083,093.85",Finance,Bid Opening Summary,Deepak Mahajan,26-Sep-2022 11:47 AM,finance_95148.pdf,BOQ Comparative Chart,1,293723,Abhishek Thakur,31-Jul-2022 11:29 AM,Rejected-Finance,Other Than Lowest,26-Sep-2022,Technical,Bid opening summary,Deepak Mahajan,11-Aug-2022 03:51 PM,technical_95148.pdf,PWD,2022_PWD_63101_1,EE Salooni letter No. 6204-54 dated 16-07-2022,Construction of link road to village Simni-I to Simni-II K.M. 0/0 to 1/0,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,11-Aug-2022 04:04 PM,16-Aug-2022 11:30 AM,techsummary_95148.pdf (1079.86 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,26-Sep-2022 11:53 AM,finsummary_95148.pdf (18.54 KB),26-Sep-2022,"INR 2,975,848",180.0,Deepak Mahajan,03-Apr-2023 04:33 PM,AL.pdf (1210.00 KB),Award Letter
,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2,293234,Akhtar Hussaun,28-Jul-2022 12:52 PM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,294026,Arvind Thakur,02-Aug-2022 10:01 PM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of GSTR-3B of last preceding month or quarter as the case may be attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,293535,Gargesh Kumar,03-Aug-2022 10:00 AM,Rejected-Technical,GSTR-3B not received,11-Aug-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,294023,Hariesh Thakur,02-Aug-2022 09:38 PM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,294031,HIMTECH CONSTRUCTION CO,03-Aug-2022 12:07 AM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,293483,Kehar Singh,02-Aug-2022 09:37 PM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit/Undertaking regarding not having two works in hand at the time of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,293878,MAN SINGH,01-Aug-2022 08:04 PM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,294043,PANKAJ CONSTRUCTION,03-Aug-2022 08:36 AM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,293824,Pradeep Thakur,03-Aug-2022 10:57 AM,Rejected-Finance,Other Than Lowest,26-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
