Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage
26-Sep-2022,"INR 1,080,114",90.0,Sanjay Katoch,26-Sep-2022 06:22 PM,award.pdf (343.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,17-Dec-2021 04:58 PM,finsummary_78749.pdf (714.47 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,06-Oct-2021 05:59 PM,07-Oct-2021 10:30 AM,techsummary_78749.pdf (1065.38 KB),PWD,2021_PWD_52679_1,C/o Link road from Upper Loundary to Lower Loundar,Construction of Link road from Upper Loundary to Lower Loundary km 0/0 to 1/500,Technical,Attached,Vivek Sharma,06-Oct-2021 05:53 PM,technical_78749.pdf,1.0,238743.0,Anil Chandel,30-Sep-2021 05:02 PM,Rejected-Finance,l5,17-Dec-2021 04:58 PM,Finance,Attached,Vivek Sharma,17-Dec-2021 04:53 PM,finance_78749.pdf,BOQ Comparative Chart,1.0,238809.0,RAKESH KUMAR,INR,"1,080,114.4",AOC,PWD,C/o Link road from Upper Loundary to Lower Loundar,2021_PWD_52679_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Sep-2021 06:00 PM,01-Oct-2021 11:30 AM,24-Sep-2021 06:00 PM,01-Oct-2021 10:30 AM,NA ,NA ,24-Sep-2021 06:00 PM,01-Oct-2021 10:30 AM,07-Oct-2021 10:30 AM,Construction of Link road from Upper Loundary to Lower Loundary km 0/0 to 1/500,SH Construction of 5/7 mtr. wide road formation cutting in km 0/075 to 1/030 Edge wall at RD 0/055 to 0/064 Retaining wall at RD 0/850 to 0/865 0/915 to 0/930 and 900mm dia hume pipe culvert at RD 0/450 0/630 and 0/730,Please refer Tender documents. ,NA ,"12,02,826",Civil Works - Roads,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"24,100",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,238869.0,ashok Thakur,30-Sep-2021 06:38 PM,Rejected-Finance,l2,17-Dec-2021 04:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,238850.0,Pankaj Soni,30-Sep-2021 02:26 PM,Rejected-Finance,l6,17-Dec-2021 04:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,238809.0,RAKESH KUMAR,29-Sep-2021 07:51 PM,Accepted-AOC,l1,26-Sep-2022 06:23 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,238905.0,RAVINDER KUMAR,01-Oct-2021 09:23 AM,Rejected-Finance,l4,17-Dec-2021 04:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,238742.0,Surjeet Kumar,30-Sep-2021 04:33 PM,Rejected-Finance,l3,17-Dec-2021 04:58 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,AOC
