S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,266938.0,HARJEET SINGH,10-Mar-2022 10:12 PM,Accepted-AOC,L1,30-Sep-2022 04:51 PM,ENC P JSV mandi,Internal,CE PMU CE MZ Mandi SE Sundernagar SE ENCP Mandi SE PMU Mandi EE ENCP Mandi EE PMU Mandi EE JSD Sundernagar Dy Controller,Suresh Mahajan,11-May-2022 05:32 PM,11-May-2022 05:35 PM,techsummary_85444.pdf (1523.85 KB),30-Sep-2022,"INR 379,669,537.45",730.0,Suresh Mahajan,30-Sep-2022 04:51 PM,AwardM4.pdf (932.00 KB),Award of Contract,Technical,Technical Proceeding,Suresh Mahajan,11-May-2022 05:30 PM,technical_85444.pdf,Finance,Financial Proceeding,Suresh Mahajan,30-Sep-2022 04:46 PM,finance_85444.pdf,BOQ Comparative Chart,1.0,266938.0,HARJEET SINGH,INR,"377,500,000",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2022_HPIPH_56716_1,3450-3499,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Multi Village Water Supply scheme for 15 Gram Panchayats of Jarol Kangoo area of Block Sundernagar District Mandi,ENC P JSV Mandi,Internal,CE PMU CE MZ SE PMU SE ENCP SE Sundernagar EE ENCP EE PMU EE Sundernagar Dy Controller,Suresh Mahajan,30-Sep-2022 04:50 PM,finsummary_85444.pdf (2355.52 KB),AOC,"2,500",Nil,Nil,No,1.0,Corrigendum 1,Date,,11-Feb-2022 06:00 PM,11-Mar-2022 11:30 AM,11-Feb-2022 06:00 PM,11-Mar-2022 11:00 AM,NA ,NA ,11-Feb-2022 06:30 PM,11-Mar-2022 11:00 AM,11-May-2022 05:35 PM,1.0,Fee,.pdf,Bid Security,1.0,ICICI BANK,CE PMU Mandi,CE PMU Mandi,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Multi Village Water Supply scheme for 15 Gram Panchayats of Jarol Kangoo area of Block Sundernagar District Mandi,Water Supply scheme for 15 Gram Panchayats of Jarol Kangoo area of Block Sundernagar District Mandi for ultimate capacity of bringing 2 24 MLD Treated water 16 hours of pumping from the source Intake on BSL Canal in single package,as per tender documents ,NA ,"34,68,08,406",Civil Works,NA ,Tender,180.0,730.0,Sundernagar,175002.0,CE PMU Mandi ,CE PMU Mandi ,23-Feb-2022 03:00 PM ,CE PMU Mandi,No ,No,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,3450-3499,2022_HPIPH_56716_1,Yes,Global Tenders,Item Rate,Works,3.0,No,No,Online,No,No,No,"35,00,000",Yes,fixed,,Nil,Nil,AOC
2.0,269028.0,R.G. INDUSTRIES,10-Mar-2022 07:33 PM,Rejected-Finance,L3,30-Sep-2022 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Prebid response,Other,,,,,,,,,,,,,.pdf,Cost of Bid Form,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,268948.0,Unipro Techno Infrastructure Pvt Ltd,10-Mar-2022 04:34 PM,Rejected-Finance,L2,30-Sep-2022 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration with JSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Bid form as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Experience of similar nature of work during last 7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,PAN GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Copy of undertaking as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
