Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
22-Aug-2022,"INR 47,047,393",540.0,Harsh Puri,05-Sep-2022 05:08 PM,MMRJOSHI.pdf (251.00 KB),AWARD LETTER,SE 9TH CIRCLE NURPUR,Internal,EE DESIGN EE KOTLA BEHAR DAO KOTLA BEHAR,Harsh Puri,20-Jul-2022 11:29 AM,finsummary_92517.pdf (24.26 KB),ER M.P. DHIMAN SUPERINTENDING ENGINEER,Internal,EE KOTLA BEHAR . E.E DESIGN DAO KOTLA,Harsh Puri,08-Jul-2022 06:35 PM,13-Jul-2022 11:00 AM,techsummary_92517.pdf (1320.05 KB),PWD,2022_PWD_61285_1,TENDER NOTICE NO SEIX NURPUR 1503-07 DT18.5.2022,CONSTRUCTION OF 2 NO.S BRIDGE ON BANI TO PRAGPUR VIA DANGRA SIDH ROAD I.E LAGBALIYANA AND SEHRI KHAD IN DISTT KANGRA H.P SH CONNSTRUCTION OF 2 NO.S BRIDGE ON BALIYANA AND SEHRI KHAD INCLUDING BOTH SIDE APPROACHES UNDER NABARD RIDF XXVII,1.0,285693.0,Maheshrajan,INR,"47,047,393",Finance,FINICIAL SUMMARY,Harsh Puri,20-Jul-2022 11:24 AM,finance_92517.pdf,BOQ Comparative Chart,Technical,TECHANICAL EVULATION BRIDGE NABARD,Harsh Puri,08-Jul-2022 06:27 PM,technical_92517.pdf,1.0,285689.0,DEEPAK JOSHI,07-Jun-2022 10:00 PM,Rejected-Technical,AVAILBILITY OF LIQUIED ASSETS CRIDIT FACILITY NOT ATTACHED,08-Jul-2022 06:35 PM,AOC,CONSTRUCTION OF 2 NO.S BRIDGE ON BANI TO PRAGPUR VIA DANGRA SIDH ROAD I.E LAGBALIYANA AND SEHRI KHAD IN DISTT KANGRA H.P SH CONNSTRUCTION OF 2 NO.S BRIDGE ON BALIYANA AND SEHRI KHAD INCLUDING BOTH SIDE APPROACHES UNDER NABARD RIDF XXVII,CONSTRUCTION OF 2 NO.S BRIDGE ON BANI TO PRAGPUR VIA DANGRA SIDH ROAD I.E LAGBALIYANA AND SEHRI KHAD IN DISTT KANGRA H.P SH CONNSTRUCTION OF 2 NO.S BRIDGE ON BALIYANA AND SEHRI KHAD INCLUDING BOTH SIDE APPROACHES UNDER NABARD RIDF XXVII,Please refer Tender documents. ,NA ,"4,55,26,006",Civil Works - Bridges,NA ,Tender,75.0,540.0,KOTLA BEHAR,177111.0,NA ,NA ,NA ,SUPERINTENDING ENGINEER 9TH CIRLCE NURPUR,No ,No,31-May-2022 02:00 PM,09-Jun-2022 11:00 AM,31-May-2022 02:00 PM,08-Jun-2022 05:00 PM,NA ,NA ,31-May-2022 02:00 PM,08-Jun-2022 05:00 PM,13-Jul-2022 11:00 AM,SUPERINTENDING ENGINEER 9TH CIRLCE NURPUR,SUPERINTENDING ENGINEER 9TH CIRLCE NURPUR,PWD,TENDER NOTICE NO SEIX NURPUR 1503-07 DT18.5.2022,2022_PWD_61285_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,SBD DOCUMENTS,"9,11,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285693.0,Maheshrajan,08-Jun-2022 12:31 PM,Accepted-AOC,AWARD LETTER,05-Sep-2022 05:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,COST OF TENDER FORM .EARNEST MONEY ON LINE SLIPS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285878.0,rajat thakur govt contractor,08-Jun-2022 01:49 PM,Rejected-Technical,AFFIDEIVIT SELF ATTESTED AND SIMILAR NATURE WORK NOT ATTACHED WITH IN FIYE YEAR,08-Jul-2022 06:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST NO . PAN NO. EPF NO . REGISTRAION NO,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,285666.0,RAMESH CHAND CHOPRA AND SONS,08-Jun-2022 12:19 PM,Rejected-Technical,WORK DONE CERTIFICATE ATTACHED BUT WORK IN PROGRESS,08-Jul-2022 06:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANNUAL TURNOVER CERTIFICATE FROM CA LAST FIVE YEAR,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,285570.0,SHAMBHU DUTT GOSWAMI,08-Jun-2022 02:55 PM,Rejected-Technical,AVAILBILITY OF LIQUIED ASSETS CRIDIT FACILITY NOT ATTACHED,08-Jul-2022 06:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATE SIMILAR NATURE LAST FIVE YAER DULY SIGEND BY THE CONCERNED EE,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,285760.0,S.S.Chauhans Construction Private Limted,08-Jun-2022 03:41 PM,Rejected-Finance,HIGEST RATE,20-Jul-2022 11:29 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DETAIL OF TECHANICAL PERSONAL AS DEFINED,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,285902.0,SUMESH KUMAR,08-Jun-2022 04:20 PM,Rejected-Technical,COPY OF ENLISTMENT NOT ATTACHED,08-Jul-2022 06:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EVEDENCE OF ACCESS TO LINES OF CRIDET AND AVAILABILTY OF OTHER FINICIAL RESOURCES,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,INFORMATION REGARDING LITIGATION OF ARBITRAION DURING LAST FIVE YEAR,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDEVIT FOR CORRECTNESS OF INFROMATION FURNISHED REGARDING NAMELE WORK,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF WORK IN HAND/EXITING COMMITMENT DULY SIGNED CONCERNED EE,,,,,,,,,,,AOC
