Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
500.0,Nil,Nil,No,"27,900",No,fixed,,Nil,Nil,PWD,NAHAN 8096-8125,2022_PWD_64123_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/o Shambhuwala Kun Nehrla Road Km 0/0 to 7/040,Repair of Pot Holes in Km 3/500 to 7/040,As per Bidding Documents ,NA ,"13,92,834",Civil Works - Roads,NA ,Tender,75.0,90.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,26-Aug-2022 05:00 PM,03-Sep-2022 11:00 AM,26-Aug-2022 05:00 PM,03-Sep-2022 10:00 AM,NA ,NA ,26-Aug-2022 05:00 PM,03-Sep-2022 10:00 AM,06-Sep-2022 03:00 PM,1.0,298550.0,Balinder Dutt,02-Sep-2022 12:36 PM,Rejected-Technical,does not meet the minimum qualification criteria,06-Sep-2022,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,05-Sep-2022 12:40 PM,technical_96593.pdf,Finance,Financial Bids were opened on 06.09.2022,Vijay Kumar Aggarwal,06-Sep-2022 03:44 PM,,BOQ Comparative Chart,1.0,299055.0,GIAN CHAND,INR,"1,449,824",V. K. Aggarwal,Internal,Suptd. DAO DM,Vijay Kumar Aggarwal,06-Sep-2022 02:52 PM,06-Sep-2022 03:00 PM,techsummary_96593.pdf (1416.40 KB),PWD,2022_PWD_64123_2,NAHAN 8096-8125,A/R and M/o Shambhuwala Kun Nehrla Road Km 0/0 to 7/040,06-Sep-2022,"INR 1,392,834",90.0,Vijay Kumar Aggarwal,21-Aug-2023 03:46 PM,AOC_64123_2.pdf (430.00 KB),Awarded to Sh. Gian Chand,V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,06-Sep-2022 04:35 PM,finsummary_96593.pdf (407.87 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,2.0,299055.0,GIAN CHAND,03-Sep-2022 09:11 AM,Accepted-AOC,L1,21-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,3.0,299053.0,HARI SINGH,03-Sep-2022 08:53 AM,Rejected-Technical,Bidder withdraws his Bid,06-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,4.0,297920.0,Siddharth,02-Sep-2022 09:44 PM,Rejected-Technical,does not meet the minimum qualification criteria,06-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and List of Technical Staff,,,,,,,,,,5.0,299057.0,Vijay Pal,03-Sep-2022 09:24 AM,Rejected-Finance,L2,06-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of not having more than 2 Works-in-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity in .xls Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
