Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
07-Sep-2022,"INR 8,826,012",270.0,Jeet Singh Thakur,07-Sep-2022 01:17 PM,AOC-53441-1.pdf (780.00 KB),"Construction of Salwin Sarol Mangalasan road km. 0/0 to 1/500 Formation Cutting ,Metalling/Tarring ,Retaining wall",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,14-Jan-2022 03:30 PM,finsummary_79961.pdf (336.49 KB),EE,Internal,Assistant Engineer Superintendent and senior assistanty,Jeet Singh Thakur,04-Dec-2021 07:12 PM,09-Dec-2021 11:30 AM,techsummary_79961.pdf (1459.08 KB),PWD,2021_PWD_53441_1,WA-II-No.10047-146 dated 3.11.21,"Construction of Salwin Sarol Mangalasan road km. 0/0 to 1/500 Formation Cutting ,Metalling/Tarring ,Retaining wall",Technical,Bid opening Summary,Jeet Singh Thakur,04-Dec-2021 07:07 PM,technical_79961.pdf,1.0,243166.0,construction,19-Nov-2021 02:42 PM,Accepted-AOC,work completed and FDR may be released,07-Sep-2022 01:18 PM,1.0,243166.0,construction,INR,"7,380,559",Finance,BOS,Jeet Singh Thakur,06-Jan-2022 02:35 PM,finance_79961.pdf,BOQ Comparative Chart,AOC,11-Nov-2021 03:00 PM,22-Nov-2021 11:30 AM,11-Nov-2021 03:00 PM,20-Nov-2021 05:00 PM,NA ,NA ,11-Nov-2021 03:00 PM,20-Nov-2021 05:00 PM,09-Dec-2021 11:30 AM,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"2,000",Nil,Nil,No,"1,76,600",No,fixed,,Nil,Nil,PWD,WA-II-No.10047-146 dated 3.11.21,2021_PWD_53441_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,"Construction of Salwin Sarol Mangalasan road km. 0/0 to 1/500 Formation Cutting ,Metalling/Tarring ,Retaining wall","Construction of Salwin Sarol Mangalasan road km. 0/0 to 1/500 Formation Cutting ,Metalling/Tarring ,Retaining wall",Please refer Tender documents. ,NA ,"88,26,012",Civil Works - Buildings,NA ,Tender,75.0,270.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Corrigendum letter,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,243467.0,DEVESH THAKUR,20-Nov-2021 12:58 PM,Rejected-Finance,2nd lowest,14-Jan-2022 03:30 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money only mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule and directions No.20 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing work/Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F ..,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,AOC
