EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"8,96,143",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,04-May-2022 01:00 PM,17-May-2022 11:00 AM,04-May-2022 01:00 PM,13-May-2022 06:00 PM,NA ,NA ,04-May-2022 01:00 PM,13-May-2022 06:00 PM,25-May-2022 01:35 PM,Upgradation of BAGODI NALLA to GANGANAGER via KOTI BANOGRA Road 0/00 to 5/825.,"Protection works, R/walls at various RDs (PCC),cross drainage works,GSB,G-I,G-II, bituminious concrete, parapet, crash barrier, sign boards and kilometre stone.",Please refer Tender documents. ,NA ,"4,48,07,139",Civil Works - Roads,NA ,Tender,120.0,365.0,Kotkhai,171202.0,NA ,NA ,NA ,Kotkhai,No ,No,Executive Engineer Kotkhai,HPPWD KOTKHAI,PWD,PW-KD/E-Tender/2022 - 23 -1871 -73 Dt 26.4.2022,2022_PWD_60280_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,AOC,Executive Engineer,Internal,"XEN, AE to EE, HDM, Supdt",Ramesh Rana,25-May-2022 01:34 PM,25-May-2022 01:35 PM,techsummary_91110.pdf (3212.31 KB),PWD,2022_PWD_60280_1,PW-KD/E-Tender/2022 - 23 -1871 -73 Dt 26.4.2022,Upgradation of BAGODI NALLA to GANGANAGER via KOTI BANOGRA Road 0/00 to 5/825.,17-Sep-2022,"INR 44,807,139",540.0,Ramesh Rana,19-Sep-2022 12:59 PM,1.pdf (845.00 KB),Executive Engineer,Internal,"XEN, AE to EE, Supdt. Gr-II, HDM",Ramesh Rana,28-Jun-2022 02:59 PM,finsummary_91110.pdf (194.75 KB),1.0,282087.0,Dixit Keprate,13-May-2022 03:53 PM,Accepted-AOC,Lowest bidder to awarded the work,19-Sep-2022 01:01 PM,Technical,summary uploaded,Ramesh Rana,25-May-2022 01:32 PM,technical_91110.pdf,Finance,summary uploaded,Ramesh Rana,28-Jun-2022 02:52 PM,finance_91110.pdf,BOQ Comparative Chart,1.0,282087.0,Dixit Keprate,INR,"40,070,218",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Tender fee and Earnest money,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,282016.0,kapoor sanjee,13-May-2022 02:21 PM,Rejected-Finance,L2 BIDDER,28-Jun-2022 02:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,281161.0,Laiq Ram Chauhan and Sons,11-May-2022 09:22 PM,Rejected-Finance,L3 BIDDER,28-Jun-2022 02:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale tax registration Rule No.21 (GST No.),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Constitution or legal status, Registration and Power of attorney etc.",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Value of Construction in last 5 year.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work performed as prime contractor (similar nature of work in last 5 year),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of works in hand or existing commitments as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Equipments / Machinery as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Technical Staff as per SBD.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
