Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Attached,Dev Raj,26-Mar-2022 04:22 PM,technical_87493.pdf,1.0,271945.0,Davinder kumar,22-Mar-2022 10:25 PM,Rejected-Finance,L1L2L3,06-Apr-2022 10:10 AM,1.0,271758.0,DEEPAK JOSHI,INR,"4,140,900",Finance,Attached,Dev Raj,06-Apr-2022 10:06 AM,finance_87493.pdf,BOQ Comparative Chart,21-Sep-2022,"INR 3,649,469",30.0,Dev Raj,21-Sep-2022 02:03 PM,a.o.c.pdf (1756.00 KB),A.O.C.,Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,06-Apr-2022 10:10 AM,finsummary_87493.pdf (343.14 KB),Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,26-Mar-2022 04:24 PM,28-Mar-2022 03:00 PM,techsummary_87493.pdf (1127.95 KB),PWD,2022_PWD_57947_1,ANNUAL MAINTENANCE PLAN LINK ROAD TO VILLAGE BHABR,"ANNUAL MAINTENANCE PLAN LINK ROAD TO VILLAGE BHABRAN, DHANETA BARSAR ROAD.",AOC,"58,600",No,fixed,,Nil,Nil,PWD,ANNUAL MAINTENANCE PLAN LINK ROAD TO VILLAGE BHABR,2022_PWD_57947_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,1.0,ICICI BANK,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,16-Mar-2022 10:30 AM,23-Mar-2022 11:30 AM,16-Mar-2022 10:30 AM,23-Mar-2022 10:30 AM,NA ,NA ,16-Mar-2022 10:30 AM,23-Mar-2022 10:30 AM,28-Mar-2022 03:00 PM,"ANNUAL MAINTENANCE PLAN LINK ROAD TO VILLAGE BHABRAN, DHANETA BARSAR ROAD.","PROVIDING AND LAYING BITUMINOUS CONCRETE 30MM THICK IN KM. 5/0 TO 7/0 AND 0/0 TO 1/0 RESPECTIVELY) (UNDER PMGSY WITH PAVER FINISHER). DRRP NO. HP-03-03 VR00005, VR0007.",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"1,500",Nil,Nil,No,AOC
,,,,,2.0,271758.0,DEEPAK JOSHI,22-Mar-2022 08:12 PM,Accepted-AOC,L1,21-Sep-2022 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,271803.0,MOHINDER PAL GOVT. CONTRACTOR,22-Mar-2022 04:01 PM,Rejected-Finance,L1L2L3,06-Apr-2022 10:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery as per SBD with proof tools and plant with ownership documents/ Affidavit Magis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
