Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
06-Aug-2022,"INR 3,930,120",90.0,Deepak Mahajan,06-Sep-2022 05:26 PM,AL.pdf (1339.00 KB),Award letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,18-Jun-2022 11:28 AM,finsummary_87090.pdf (18.14 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,19-Mar-2022 08:35 PM,22-Mar-2022 11:30 AM,techsummary_87090.pdf (675.15 KB),PWD,2022_PWD_57702_1,EE Salooni Letter No. 11091-11140 dated 02-03-2022,Construction of balance work including M/T of existing grade to village Banetu via Kanihandi Mata Mandir K.M. 0/0 to 5/950,Technical,Bid Opening Summary,Deepak Mahajan,19-Mar-2022 08:26 PM,technical_87090.pdf,1.0,268794.0,Gargesh Kumar,13-Mar-2022 06:38 PM,Rejected-Technical,rejected (Work experiance certificate not attached),19-Mar-2022 08:35 PM,Finance,Bid Opening summary,Deepak Mahajan,18-Jun-2022 11:25 AM,finance_87090.pdf,BOQ Comparative Chart,1.0,270156.0,Rakesh Govt Contr,INR,"2,753,883.68",AOC,PWD,EE Salooni Letter No. 11091-11140 dated 02-03-2022,2022_PWD_57702_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,09-Mar-2022 10:00 AM,16-Mar-2022 11:30 AM,09-Mar-2022 10:00 AM,16-Mar-2022 11:00 AM,NA ,NA ,09-Mar-2022 10:00 AM,16-Mar-2022 11:00 AM,22-Mar-2022 11:30 AM,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,"78,700",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,Construction of balance work including M/T of existing grade to village Banetu via Kanihandi Mata Mandir K.M. 0/0 to 5/950,"Formation cutting 2.75/5.00 metre wide Jeep-able road at R.D. 4/510 to 5/930 and C.D. work at R.D. 4/675, 4/985, 5/360 and 5/730",Please refer Tender documents. ,NA ,"39,34,120",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,"2,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270156.0,Rakesh Govt Contr,15-Mar-2022 04:57 PM,Accepted-AOC,Work in progress,06-Sep-2022 05:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,270236.0,SHAM LAL SHARMA,16-Mar-2022 10:09 AM,Rejected-Finance,Other than Lowest,18-Jun-2022 11:28 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F.,,,,,,,,,,,,,,,,,,,,,,,AOC
