S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,"C/o GHS Building at Malagaon, Tehsil Nahan, Sirmaur (HP)",C/o Three Rooms with Verandah along with Toilet Block,As per Bidding Documents ,NA ,"43,73,907",Civil Works - Buildings,NA ,Tender,75.0,180.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,"2,000",Nil,Nil,No,PWD,NAHAN 6705-34,2022_PWD_63088_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,"73,200",No,fixed,,Nil,Nil,26-Jul-2022 02:30 PM,03-Aug-2022 11:00 AM,26-Jul-2022 02:30 PM,03-Aug-2022 10:00 AM,NA ,NA ,26-Jul-2022 02:30 PM,03-Aug-2022 10:00 AM,03-Aug-2022 04:45 PM,AOC,PWD,2022_PWD_63088_1,NAHAN 6705-34,"C/o GHS Building at Malagaon, Tehsil Nahan, Sirmaur (HP)",V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,03-Aug-2022 04:38 PM,03-Aug-2022 04:45 PM,techsummary_95132.pdf (779.17 KB),V. K. Aggarwal,Internal,Suptd. DM DAO,Vijay Kumar Aggarwal,04-Aug-2022 10:59 AM,finsummary_95132.pdf (447.33 KB),20-Sep-2022,"INR 4,373,907",180.0,Vijay Kumar Aggarwal,23-Sep-2022 03:17 PM,AOC_63088_1.PDF (60.00 KB),1.0,293366.0,ABC Construction,02-Aug-2022 05:18 PM,Rejected-Finance,L6,04-Aug-2022 10:59 AM,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,03-Aug-2022 04:15 PM,technical_95132.pdf,Finance,Financial Bids were opened on 03.08.2022,Vijay Kumar Aggarwal,04-Aug-2022 10:42 AM,None,BOQ Comparative Chart,1.0,293857.0,Naushad Ali,INR,"3,723,472",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,294045.0,MANOJ TRADING AND ENGINEERING WORKS,03-Aug-2022 09:57 AM,Rejected-Finance,L2,04-Aug-2022 10:59 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,293859.0,MAN SINGH,02-Aug-2022 03:01 PM,Rejected-Finance,L3,04-Aug-2022 10:59 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4.0,293881.0,Mohan Singh,01-Aug-2022 08:59 PM,Rejected-Finance,L4,04-Aug-2022 10:59 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,5.0,293857.0,Naushad Ali,02-Aug-2022 12:31 PM,Accepted-AOC,L1,23-Sep-2022 03:17 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,6.0,294047.0,Vikram Chauhan,03-Aug-2022 09:18 AM,Rejected-Finance,L5,04-Aug-2022 10:59 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of not having more than 2 Works-in-Hand,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity in .xls Format,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
