EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"1,39,000",No,fixed,,Nil,Nil,PWD,PWJ/CB/TENDER/22/4901-4931 Dt 24.03.2022,2022_PWD_59156_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,e-Challan Cost of tender and Earnest of Money,1.0,ICICI BANK,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,"5,000",Nil,Nil,No,06-Apr-2022 10:00 AM,19-Apr-2022 11:00 AM,06-Apr-2022 10:00 AM,18-Apr-2022 04:00 PM,NA ,NA ,06-Apr-2022 10:00 AM,18-Apr-2022 04:00 PM,27-Apr-2022 11:30 AM,Construction of Govt. Senior Secondary School Building Chalwara Tehsil Jawali Distt Kangra HP,"Construction of Five Nos. Class Rooms, Examination Hall, Library, Computer Room, Administration Block including Water Supply and Sanitary Installation work, Septic Tank and Rain Water Harvesting System and 30 Users of Septic Tank",Please refer Tender documents. ,NA ,"1,05,70,230",Civil Works - Buildings,NA ,Tender,75.0,547.0,JAWALI,176023.0,NA ,NA ,NA ,HPPWD DIVISION JAWALI,No ,No,AOC,1.0,278146.0,Arun Kumar,18-Apr-2022 02:31 PM,Accepted-AOC,Accepted,02-Sep-2022 04:06 PM,Technical,Proceeding,Jagtar Singh Thakur,25-Apr-2022 03:09 PM,technical_89567.pdf,Finance,summary,Jagtar Singh Thakur,02-Sep-2022 03:39 PM,finance_89567.pdf,BOQ Comparative Chart,1.0,278146.0,Arun Kumar,INR,"13,612,438",Er. J.S Thakur EE,Internal,"AE Jawali,HDM,Supdt-Gr-II,Sr.Asstt.",Jagtar Singh Thakur,25-Apr-2022 03:18 PM,27-Apr-2022 11:30 AM,techsummary_89567.pdf (241.53 KB),PWD,2022_PWD_59156_1,PWJ/CB/TENDER/22/4901-4931 Dt 24.03.2022,Construction of Govt. Senior Secondary School Building Chalwara Tehsil Jawali Distt Kangra HP,02-Sep-2022,"INR 13,612,438",547.0,Jagtar Singh Thakur,02-Sep-2022 04:05 PM,sum.pdf.pdf (219.00 KB),AOC,EE Jawali,Internal,"Supdt. Gr-II, DAO, HDM, AE Jawali",Jagtar Singh Thakur,02-Sep-2022 03:44 PM,finsummary_89567.pdf (219.42 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,276488.0,ARUN KUMAR,18-Apr-2022 03:30 PM,Rejected-Technical,Rejected due to similar nature of work done criteria not fulfill.,25-Apr-2022 03:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No, PAN No, Latest ITR and EPF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,277320.0,MUNISH KUMAR,16-Apr-2022 01:46 PM,Rejected-Technical,Rejected due to expiry of validity of enlistment,25-Apr-2022 03:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, one similar nature work not less than forty percent amount put to tender last five years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,276876.0,sourav mahajan,17-Apr-2022 10:57 AM,Rejected-Finance,Rejected,02-Sep-2022 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery and Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate last five financial years from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with BID documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
