Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
30-Aug-2022,"INR 986,529",60.0,Ravi Bhatti,07-Sep-2022 10:40 AM,Awards.pdf (747.00 KB),Award letter,Er. Ravi Bhatti,Internal,"Hukam Singh Thakur, Head D/man, Jia Lal, D/man",Rajesh Kumar,26-May-2022 03:52 PM,finsummary_89681.pdf (399.41 KB),"Ajjay Gazta, A.E.",Internal,"Deepak Sharma,. Sr. DAO, Kewal Ram, Supdt. Gr-II Jia Lal, Draughtsman, Leela Verma, Sr. Asstt.",Rajesh Kumar,23-Apr-2022 02:54 PM,25-Apr-2022 11:00 AM,techsummary_89681.pdf (495.14 KB),PWD,2022_PWD_59239_2,THD/CB-tender/2021-17004-18,Restoration of rain damages on Matiana Baragoan road km 0.00 to 25.810,Technical,Bid Opening summary,Rajesh Kumar,20-Apr-2022 12:34 PM,technical_89681.pdf,1.0,278186.0,Ashok Kumar,18-Apr-2022 04:19 PM,Rejected-Finance,Being higher rates,26-May-2022 03:52 PM,1.0,278110.0,GOVERDHAN SINGH,INR,"690,569",Finance,Financial bid opening summary,Rajesh Kumar,25-Apr-2022 12:21 PM,finance_89681.pdf,BOQ Comparative Chart,AOC,07-Apr-2022 05:00 PM,19-Apr-2022 11:00 AM,07-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,NA ,NA ,07-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,25-Apr-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,1.0,ICICI BANK,Restoration of rain damages on Matiana Baragoan road km 0.00 to 25.810,Construction of PCC Breast wall at RD 17.450 to 17.460,As per GCC ,NA ,"9,86,529",Civil Works - Roads,NA ,Tender,60.0,60.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,350.0,Nil,Nil,Yes,PWD,THD/CB-tender/2021-17004-18,2022_PWD_59239_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Theog Division, HPPWD., Theog","20,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278110.0,GOVERDHAN SINGH,18-Apr-2022 04:47 PM,Accepted-AOC,Being L1,07-Sep-2022 10:40 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,278251.0,MOHINDER KALTA,18-Apr-2022 03:40 PM,Rejected-Finance,Being higher rates,26-May-2022 03:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,278104.0,Mohinder Singh Govt. Contractor,18-Apr-2022 10:44 AM,Rejected-Finance,Being higher rates,26-May-2022 03:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,278239.0,Narinder Singh,18-Apr-2022 03:51 PM,Rejected-Finance,Being Higher rates,26-May-2022 03:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,278190.0,Sandeep Verma,18-Apr-2022 01:30 PM,Rejected-Finance,Being higher rates,26-May-2022 03:52 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
