Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,19-Apr-2022 10:59 AM,finance_87851.pdf,BOQ Comparative Chart,1.0,271852.0,Islam,INR,"1,027,180",Technical,Bid Opening Summary,Kishan Lal Chaudhary,25-Mar-2022 02:47 PM,technical_87851.pdf,1.0,271922.0,CHAUDHARY BROTHERS,22-Mar-2022 09:25 PM,Rejected-Finance,L2,19-Apr-2022 12:35 PM,07-Sep-2022,"INR 1,467,400",180.0,Kishan Lal Chaudhary,07-Sep-2022 04:06 PM,aoc.pdf (973.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,19-Apr-2022 12:35 PM,finsummary_87851.pdf (302.15 KB),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,25-Mar-2022 02:59 PM,25-Mar-2022 03:00 PM,techsummary_87851.pdf (838.05 KB),PWD,2022_PWD_58088_6,Tender/2021-22-12775-12825 dated 05.03.2022,Construction of link road to Lower Bodiwala km 0/0 to 0/960. (SH-C/O 7.10 mtr. span R.C.C. Box cell (3X3)culvert at RD.0/520)(Under MMGSY).,AOC,1.0,ICICI BANK,17-Mar-2022 04:30 PM,23-Mar-2022 11:00 AM,17-Mar-2022 05:00 PM,23-Mar-2022 10:30 AM,NA ,NA ,17-Mar-2022 05:00 PM,23-Mar-2022 10:30 AM,25-Mar-2022 03:00 PM,Construction of link road to Lower Bodiwala km 0/0 to 0/960. (SH-C/O 7.10 mtr. span R.C.C. Box cell (3X3)culvert at RD.0/520)(Under MMGSY).,Construction of link road to Lower Bodiwala km 0/0 to 0/960. (SH-C/O 7.10 mtr. span R.C.C. Box cell (3X3)culvert at RD.0/520)(Under MMGSY).,Please refer tender document ,NA ,"14,67,400",Civil Works - Roads,NA ,Tender,75.0,180.0,Paonta sahib,173025.0,NA ,NA ,NA ,Paonta sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii)Earnest money-indicated in schedule f at sr.,500.0,Nil,Nil,No,"29,400",No,fixed,,Nil,Nil,PWD,Tender/2021-22-12775-12825 dated 05.03.2022,2022_PWD_58088_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HPPWD Paonta Sahib District Sirmour (HP),AOC
,,,,,,,,,,,,,,,,2.0,271852.0,Islam,22-Mar-2022 05:54 PM,Accepted-AOC,Work Completed,07-Sep-2022 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,271486.0,VAJID,21-Mar-2022 08:11 PM,Rejected-Finance,L1,19-Apr-2022 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18(i.e.R.C,purchase bills,ownership/Affidavit etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,If contractor has not his own machinery and takes it on hire basis then an affidavit is required fro,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Clearance certificate from the GST Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
