Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Procurement of 12 kV indoor Switchgear Panels,Procurement of 12 kV indoor Switchgear Panels,Please refer Tender documents. ,NA ,"6,35,30,000",Electrical Work/ Equipment,NA ,Tender,240.0,270.0,sub-stations of HPSEBL,177001.0,Hamirpur ,"O/o SE (Design), ES, HPSEBL, Hamirpur ",08-Oct-2021 11:00 AM ,Hamirpur,No ,No,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-488/21,2021_HPSEB_52925_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,07-Oct-2021 04:15 PM,22-Nov-2021 03:00 PM,07-Oct-2021 04:20 PM,22-Nov-2021 01:00 PM,NA ,NA ,11-Oct-2021 06:00 PM,22-Nov-2021 01:00 PM,22-Dec-2021 04:35 PM,1.0,Time Extension,Date,,"6,35,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,"10,000",Nil,Nil,No,1.0,ICICI BANK,"SE (Design), ES, HPSEBL, Hamirpur","O/o SE (Design), ES, HPSEBL, Hamirpur",AOC,30-Jul-2022,"INR 63,569,786",270.0,Megha Rana,14-Sep-2022 04:56 PM,PO488.pdf (414.00 KB),Finance,Price bid of reponsive firms has been opened,Narender Pal Abrol,22-Dec-2021 05:02 PM,finance_79150.pdf,BOQ Comparative Chart,Technical,Techno commercial bids of the bidders have been opened,Vikailash Chand Attri,22-Nov-2021 04:14 PM,technical_79150.pdf,SE,Internal,"SE, Sr. XEN, AE",Narender Pal Abrol,22-Dec-2021 04:32 PM,22-Dec-2021 04:35 PM,techsummary_79150.pdf (95.38 KB),1.0,240563.0,Bharat Heavy Electricals Limited,11-Nov-2021 11:31 AM,Rejected-Finance,L2 firm,07-Jun-2022 05:30 PM,SE (D),Internal,"SE(D), Sr. XEN, AE",Megha Rana,07-Jun-2022 05:30 PM,finsummary_79150.pdf (94.69 KB),1.0,240442.0,M/s Megawin Swicthgear P Limited,INR,"63,569,786",HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_52925_1,SSD-488/21,Procurement of 12 kV indoor Switchgear Panels,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Prebidclarification,Financial Bid,,,,,,,,,,.pdf,Test Reports,,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,241135.0,CORONET ENGINEERS PVT. LTD.,29-Oct-2021 01:11 PM,Rejected-Technical,Techno commercially non Responsive,22-Dec-2021 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Pre Bid Clarification,Technical Bid,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,240442.0,M/s Megawin Swicthgear P Limited,19-Nov-2021 12:35 PM,Accepted-AOC,L-1 (Accepted),14-Sep-2022 04:58 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERFORMANCE CERTIFICATE OF OFFERED RATING OF SAME /HIGHER VOLTAGE CLASS Panels,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,242103.0,Yamuna Power and Infrastructure Limited,20-Nov-2021 10:52 AM,Rejected-Technical,Techno commercially non Responsive,22-Dec-2021 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
