S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Corrigendum1,Date,,"10,000",Nil,Nil,No,"SE (Design), ES, HPSEBL, Hamirpur","O/o SE (Design), ES, HPSEBL, Hamirpur","59,000",Yes,percentage,1.0%,Nil,Nil,Procurement of 145 kV and 72.5 KV Isolators,"DESIGN, MANUFACTURE, ASSEMBLY, TESTING AT MANUFACTURERS WORKS AND DELIVERY AT F.O.R. DESTINATION STATIONS, SUPERVISION OF ERECTION, TESTING AND COMMISSIONING OF 145 kV AND 72.5 kV ISOLATORS WITH AND WITHOUT EARTH SWITCHES COMPLETE IN ALL RESPECTS",Please refer Tender documents. ,NA ,"59,00,000",Electrical Work/ Equipment,NA ,Tender,240.0,180.0,Various Sub-stations of HPSEBL,171004.0,Hamirpur ,"O/o SE (Design), ES, HPSEBL, Hamirpur ",17-Nov-2021 11:00 AM ,"O/o SE (Design), ES, HPSEBL, Hamirpur",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,08-Nov-2021 02:00 PM,10-Dec-2021 03:00 PM,10-Nov-2021 09:00 AM,10-Dec-2021 01:00 PM,NA ,NA ,22-Nov-2021 09:00 AM,10-Dec-2021 01:00 PM,04-Feb-2022 03:20 PM,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD-493/2021,2021_HPSEB_53272_1,Yes,Open Tender,Item Wise,Goods,2.0,No,No,Online,No,No,No,AOC,SE Design,Internal,"SE Design, Xen, AE",Megha Rana,14-Sep-2022 05:09 PM,finsummary_79676.pdf (96.71 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_53272_1,SSD-493/2021,Procurement of 145 kV and 72.5 KV Isolators,1.0,248224.0,M/s Kanti Prashad Mittal,INR,"2,302,770",1.0,245050.0,Elektrolites power pvt ltd,30-Nov-2021 09:04 AM,Rejected-Finance,L2,14-Sep-2022 05:09 PM,SE Design,Internal,"SE Design, Sr. XEN, AE",Narender Pal Abrol,04-Feb-2022 03:13 PM,04-Feb-2022 03:20 PM,techsummary_79676.pdf (93.72 KB),Technical,techno Commercial bids has been downloaded,Narender Pal Abrol,10-Dec-2021 04:09 PM,technical_79676.pdf,Finance,Bids of responsive bidders have been opened,Narender Pal Abrol,04-Feb-2022 03:28 PM,finance_79676.pdf,BOQ Comparative Chart,14-Sep-2022,"INR 2,302,770",180.0,Megha Rana,14-Sep-2022 05:13 PM,POKPM.pdf (485.00 KB),AOC
2.0,Prebidclarification,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Test Reports,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,248224.0,M/s Kanti Prashad Mittal,10-Dec-2021 12:22 PM,Accepted-AOC,L1,14-Sep-2022 05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,244328.0,Switchgear Manufacturing Company Pvt. Ltd,10-Dec-2021 11:14 AM,Rejected-Finance,L3,14-Sep-2022 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PERFORMANCE CERTIFICATE OF OFFERED RATING OF SAME /HIGHER VOLTAGE CLASS Isolators,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4.0,244331.0,"Switchgears & Structurals (India) Pvt. Ltd.,",10-Dec-2021 11:19 AM,Rejected-Finance,L4,14-Sep-2022 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvancy and bid capacity etc",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
