Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
05-May-2022 09:00 AM,06-Jun-2022 02:30 PM,05-May-2022 09:15 AM,06-Jun-2022 02:00 PM,05-May-2022 09:30 AM ,18-May-2022 11:00 AM ,05-May-2022 09:30 AM,06-Jun-2022 02:00 PM,04-Jul-2022 02:30 PM,"3,32,020",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,EMD,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025","3,000",Nil,Nil,No,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/32/2022/17,2022_PWRDW_25403_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,Barajol Chowk to Noona Embankment Village in Nalbari District,"APART/NOCP/ROADS/NL-09 Construction of Road from Barajol Chowk to Noona Embankment Village-Barjol Mouza, Pub Banbhag in Nalbari District (Length 1.15 KM) under APART",Please refer Tender documents. ,NA ,"1,66,01,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Nalbari District,781369.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",18-May-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,1.0,SBI Bank,AOC,"Chief Engineer,PWRD(EAP),Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer Planning),CE,PWRD(Roads),Assam",Pallavi Chakravorty,03-Jul-2022 12:25 AM,04-Jul-2022 02:30 PM,techsummary_39243.pdf (1857.50 KB),30-Aug-2022,INR 12116129.7,270.0,Sanjita Bodo,09-Sep-2022 01:16 PM,WO_Rd_BarajolChowk.pdf (835.00 KB),Finance,Financial Bids has been opened,Pallavi Chakravorty,04-Jul-2022 05:30 PM,,BOQ Comparative Chart,1,149261,Arabinda Nath,05-Jun-2022 11:33 PM,Rejected-Finance,Rejected as L2,24-Aug-2022 02:01 PM,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",Pallavi Chakravorty,24-Aug-2022 02:01 PM,finsummary_39243.pdf (1183.76 KB),1.0,148507.0,Jaber Ali,INR,12116130.0,Technical,Technical Bids has been opened,Pallavi Chakravorty,08-Jun-2022 07:25 PM,,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25403_2,CE/APART/32/2022/17,Barajol Chowk to Noona Embankment Village in Nalbari District,AOC
,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,149420,BIKEN BORO,05-Jun-2022 06:22 PM,Rejected-Finance,Rejected as L5,24-Aug-2022 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,148507,Jaber Ali,06-Jun-2022 01:04 PM,Accepted-AOC,Awarded Contract Bidder,09-Sep-2022 01:17 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,149447,JOGESH DAS,06-Jun-2022 11:43 AM,Rejected-Finance,Rejected as L6,24-Aug-2022 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,149095,NAVA KT TALUKDAR,06-Jun-2022 11:23 AM,Rejected-Technical,As per decision of Bid Evaluation Committee,03-Jul-2022 12:25 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,149608,NILACHAL CONTRUCTION AND SUPPLIER,06-Jun-2022 11:27 AM,Rejected-Technical,As per decision of Bid Evaluation Committee,03-Jul-2022 12:25 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,149430,Pabitra Boro,05-Jun-2022 08:36 PM,Rejected-Finance,Rejected as L3,24-Aug-2022 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,149630,Rana Construction and Engineers Pvt. Ltd.,05-Jun-2022 05:29 PM,Rejected-Technical,As per decision of Bid Evaluation Committee,03-Jul-2022 12:25 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,148935,Sri Dhrubajyoti Kakati,02-Jun-2022 07:16 PM,Rejected-Finance,Rejected as L4,24-Aug-2022 02:01 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,149547,SRI PRANAB BARMAN,06-Jun-2022 11:18 AM,Rejected-Technical,As per decision of Bid Evaluation Committee,03-Jul-2022 12:25 AM,,,,,,,,,,,,,,,,,,,,,AOC
