Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Finance,SUMMARY,Rattan Kumar Sharma,07-Sep-2022 02:39 PM,finance_96367.pdf,BOQ Comparative Chart,1.0,298341.0,HCS technologies,INR,"2,668,362",Technical,Summary,Rattan Kumar Sharma,01-Sep-2022 02:45 PM,technical_96367.pdf,1.0,298424.0,Dalip Singh Rana,31-Aug-2022 03:24 PM,Rejected-Finance,L2,15-Sep-2022 11:36 AM,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,15-Sep-2022 11:36 AM,finsummary_96367.pdf (231.61 KB),21-Sep-2022,"INR 2,668,362",180.0,Rattan Kumar Sharma,21-Sep-2022 03:48 PM,114.pdf (1142.00 KB),AOC,PWD,2022_PWD_63966_7,Sangrah 6583-6613 dated 16.08.2022,"C/o Link road from village Ratwa to kuna via Tholla Kulyari jarna Balaina km 0/00 to 6/500 (SH ROFD in essential reaches, C/O 900mm dia RCC hume pipe culvert at RD. 2/725 and 3/550 and C/O 1.50 mtr span Slab culvert at RD. 2/810 and C/O 4.00",Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,05-Sep-2022 03:08 PM,06-Sep-2022 10:30 AM,techsummary_96367.pdf (591.91 KB),AOC,PWD,Sangrah 6583-6613 dated 16.08.2022,2022_PWD_63966_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"C/o Link road from village Ratwa to kuna via Tholla Kulyari jarna Balaina km 0/00 to 6/500 (SH ROFD in essential reaches, C/O 900mm dia RCC hume pipe culvert at RD. 2/725 and 3/550 and C/O 1.50 mtr span Slab culvert at RD. 2/810 and C/O 4.00","C/o Link road from village Ratwa to kuna via Tholla Kulyari jarna Balaina km 0/00 to 6/500 (SH ROFD in essential reaches, C/O 900mm dia RCC hume pipe culvert at RD. 2/725 and 3/550 and C/O 1.50 mtr span Slab culvert at RD. 2/810 and C/O 4.00",Please refer Tender documents. ,NA ,"28,60,468",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"57,000",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",24-Aug-2022 05:00 PM,01-Sep-2022 10:30 AM,24-Aug-2022 05:00 PM,01-Sep-2022 10:00 AM,NA ,NA ,24-Aug-2022 05:00 PM,01-Sep-2022 10:00 AM,06-Sep-2022 10:30 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,298635.0,HARISH THAKUR,31-Aug-2022 03:17 PM,Rejected-Finance,L3,15-Sep-2022 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3.0,298341.0,HCS technologies,30-Aug-2022 12:04 PM,Accepted-AOC,AOC,21-Sep-2022 03:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,298642.0,Satish Thakur,31-Aug-2022 04:04 PM,Rejected-Finance,L4,15-Sep-2022 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
