Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",2022_HPIPH_61018_1,JSVIND/EA-I/Tender2131-2180,Providing functional house hold tap Connection ( FHTC) to various villages of Gangath area in Tehsil Indora Distt. Kangra H.P. under JJM,1.0,285473.0,S.k.sharma contractor and engineer,INR,"158,525,000",CE,Internal,SE EE CHD TA,Gurbax Singh,05-Sep-2022 03:52 PM,finsummary_92112.pdf (214.69 KB),05-Sep-2022,"INR 150,841,853",365.0,Gurbax Singh,05-Sep-2022 03:54 PM,AOCGangatharea.pdf (1056.00 KB),AWARDED TO SK SHARMA,Finance,summary,Gurbax Singh,09-Jun-2022 04:41 PM,finance_92112.pdf,BOQ Comparative Chart,Technical,proceeding,Gurbax Singh,09-Jun-2022 04:21 PM,technical_92112.pdf,SE,Internal,CHD AE EE D nurpur EE Indora,Gurbax Singh,09-Jun-2022 04:26 PM,09-Jun-2022 04:30 PM,techsummary_92112.pdf (858.05 KB),1.0,285513.0,National India Construction Co.,06-Jun-2022 05:53 PM,Rejected-Finance,Rejected,05-Sep-2022 03:52 PM,AOC,24-May-2022 02:00 PM,07-Jun-2022 11:30 AM,24-May-2022 02:00 PM,07-Jun-2022 11:00 AM,NA ,NA ,24-May-2022 02:00 PM,07-Jun-2022 11:00 AM,09-Jun-2022 04:30 PM,Providing functional house hold tap Connection ( FHTC) to various villages of Gangath area in Tehsil Indora Distt. Kangra H.P. under JJM,Providing functional house hold tap Connection ( FHTC) to various villages of Gangath area in Tehsil Indora Distt. Kangra H.P. under JJM,Please refer Tender documents. ,NA ,"15,08,41,853",Civil Works,NA ,Tender,120.0,365.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER,No ,No,1.0,ICICI BANK,"2,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,The Bid Security in favor of EE Jal SHakti Division Indora shall be submitted,"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Indora,Irrigation and Public Health,HP",JSVIND/EA-I/Tender2131-2180,2022_HPIPH_61018_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"15,08,419",Yes,fixed,,Nil,Nil,EXECUTIVE ENGINEER,JAL SHAKTI DIVISION INDORA,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285473.0,S.k.sharma contractor and engineer,06-Jun-2022 06:41 PM,Accepted-AOC,L1,05-Sep-2022 03:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,The cost of bid form as shown above shall be submitted online mode (e-payment),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,285543.0,Unipro Techno Infrastructure Pvt Ltd,06-Jun-2022 05:40 PM,Rejected-Finance,Rejected,05-Sep-2022 03:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of registration with Jal Shakti Vibhag or any other state/central govt. deptt.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three year,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid form as per Chapter IV of Form 12 duly accepted,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done, Experience Certificate as per Pre qualification criteria, similar nature of work",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST Registration",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other Condition as per NIT Form 6, 12 Technical specification data sheet",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Additional BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
