Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
500.0,Nil,Nil,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",PWD,Special Repair Covid Centre of Regional Hospital U,2022_PWD_64121_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"14,400",No,fixed,,Nil,Nil,27-Aug-2022 09:00 AM,02-Sep-2022 11:00 AM,27-Aug-2022 09:00 AM,02-Sep-2022 09:00 AM,NA ,NA ,27-Aug-2022 09:00 AM,02-Sep-2022 09:00 AM,08-Sep-2022 10:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,Special Repair Covid Centre of Regional Hospital Una Distt. Una Sub Head Repair of CMO Office Deposit work,Special Repair Covid Centre of Regional Hospital Una Distt. Una Sub Head Repair of CMO Office Deposit work,Please refer to Bidding Documents ,NA ,"7,18,774",Civil Works - Others,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,1.0,298800.0,Karnail Singh,01-Sep-2022 06:26 PM,Rejected-Finance,Not L-1,09-Sep-2022,Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,03-Sep-2022 05:00 PM,technical_96589.pdf,1.0,298860.0,MAHESH ANGRA,INR,"650,711",Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,09-Sep-2022 04:36 PM,finance_96589.pdf,BOQ Comparative Chart,Er. S.P. Dhiman. EE,Internal,"Er. Kuldeep Singh AE to EE Amit Singh DAO Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,06-Sep-2022 04:58 PM,08-Sep-2022 10:00 AM,techsummary_96589.pdf (606.25 KB),PWD,2022_PWD_64121_1,Special Repair Covid Centre of Regional Hospital U,Special Repair Covid Centre of Regional Hospital Una Distt. Una Sub Head Repair of CMO Office Deposit work,22-Sep-2022,"INR 718,774",60.0,Baldev Singh,28-Sep-2023 10:06 AM,Awardletter.pdf (820.00 KB),Awardletter,"Er. S.P. Dhiman, EE",Internal,"Er. Kuldeep Singh AE to EE Amit Singh DAO Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,09-Sep-2022 05:37 PM,finsummary_96589.pdf (395.68 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,2.0,298860.0,MAHESH ANGRA,01-Sep-2022 09:24 PM,Accepted-AOC,ok,28-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
