Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage
Sh. Manish Sehgal,Internal,,Manish Sehgal,23-Jul-2022 04:33 PM,finsummary_92655.pdf (192.39 KB),23-Jul-2022,"INR 38,798,518.78",545.0,Manish Sehgal,15-Sep-2022 12:34 PM,Summary.pdf (696.00 KB),AOC,PWD,2022_PWD_61380_1,NIT No.3581-90 DT.23-05-2022-Bhawarna,Construction of Kharout to Kabrian via Mahat Nagar road including Bridge over Tahal Khad Km 0/0 to 3/630 in District Kangra (HP).,S.E. 5th Circle Palampur,Internal,Supdt CHD E E (D) 5th Circle Palampur E E hppwd division Bhawarna A O hppwd division Bhawarna,Manish Sehgal,22-Jun-2022 06:20 PM,27-Jun-2022 11:30 AM,techsummary_92655.pdf (254.95 KB),Technical,Technical bid opened on dated 20-06-2022 and seven bids received.,Manish Sehgal,22-Jun-2022 06:09 PM,technical_92655.pdf,1.0,286986.0,Chamunda Construction Works,18-Jun-2022 01:11 PM,Rejected-Finance,Bidder Rank-L5,23-Jul-2022 04:33 PM,Finance,Summary,Manish Sehgal,23-Jul-2022 04:30 PM,finance_92655.pdf,BOQ Comparative Chart,1.0,285820.0,M/s Kamala Enterprises,INR,"41,128,107",AOC,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6.,03-Jun-2022 03:00 PM,20-Jun-2022 11:30 AM,03-Jun-2022 03:00 PM,18-Jun-2022 05:00 PM,NA ,NA ,03-Jun-2022 03:30 PM,18-Jun-2022 05:00 PM,27-Jun-2022 11:30 AM,PWD,NIT No.3581-90 DT.23-05-2022-Bhawarna,2022_PWD_61380_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"O/o SE 5th Circle, HPPWD Palampur","O/o SE 5th Circle, HPPWD Palampur",Construction of Kharout to Kabrian via Mahat Nagar road including Bridge over Tahal Khad Km 0/0 to 3/630 in District Kangra (HP).,"Formation cutting, Passing places, R/walls, Cross-drainage work, GSB, WBM-II, WBM-III, Tarring work, C.C. Pavement, Interlocking paver blocks, Parapets, Side Drain and Road furniture and 30.00 mtr span RCC box girder Bridge at RD 1/390 including both",Please refer Tender documents. ,NA ,"5,77,55,252",Civil Works - Roads,NA ,Tender,75.0,545.0,Bhawarna,176083.0,NA ,NA ,NA ,"O/o SE 5th Circle, HPPWD Palampur",No ,No,"5,000",Nil,Nil,No,"11,56,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Other,,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285820.0,M/s Kamala Enterprises,18-Jun-2022 09:10 AM,Accepted-AOC,BID RANK-L1,15-Sep-2022 12:36 PM,,,,,,,,,,,,AOC,,,.pdf,Cost of Tender Form as per Section-1 Point No-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,287361.0,M/s Satish Kumar Sharma,18-Jun-2022 04:47 PM,Rejected-Finance,Bidder Rank-L3,23-Jul-2022 04:33 PM,,,,,,,,,,,,AOC,,,.pdf,Bid Security as per Section-2 Cl-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,286915.0,RAMESH CHAND CHOPRA AND SONS,18-Jun-2022 02:21 PM,Rejected-Technical,documents not received as per requirements and performance not satisfactory,22-Jun-2022 06:20 PM,,,,,,,,,,,,AOC,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,287387.0,Rohit,18-Jun-2022 03:40 PM,Rejected-Finance,Bidder Rank-L4,23-Jul-2022 04:33 PM,,,,,,,,,,,,AOC,,,.pdf,"Q.I. as per Section 3 (1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,287217.0,Sanjeev,18-Jun-2022 04:25 PM,Rejected-Finance,Bidder Rank-L2,23-Jul-2022 04:33 PM,,,,,,,,,,,,AOC,,,.pdf,"Q.I. as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,287161.0,Ujjawal Singh,18-Jun-2022 04:25 PM,Rejected-Technical,documents not received as per requirements.,22-Jun-2022 06:20 PM,,,,,,,,,,,,AOC,,,.pdf,"Q.I. as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Q.I. as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Q.I. as per Section-2 Cl(4.2,4.4-A and B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Others documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
