EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"18,000",Yes,fixed,,EE Bhoranj,EE Bhoranj,Improvement of LWSS Badehar in Tehsil Bhoranj,(Construction of RCC Sub Storage Tank of 50000 Ltrs capacity)(under SCSP),Please refer Tender documents. ,NA ,"9,00,000",Civil Works,NA ,Tender,120.0,90.0,Executive Engineer JSV Bhoranj,176045.0,NA ,NA ,NA ,Executive Engineer JSV Bhoranj,No ,No,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",EE.BHJ.tender-22-1422-1482 DT 31-05-22,2022_HPIPH_61299_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,EE Bhoranj,EE Bhoranj,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,1.0,ICICI BANK,Executive Engineer,Executive Engineer JSV Bhoranj,31-May-2022 05:00 PM,09-Jun-2022 11:30 AM,31-May-2022 05:30 PM,08-Jun-2022 04:00 PM,NA ,NA ,31-May-2022 05:30 PM,08-Jun-2022 04:00 PM,10-Jun-2022 02:15 PM,AOC,EE Bhoranj,Internal,Anjana Kumari Tender Asstt. Lalita Kumari Supdt. Kushal Kumar HDM,OM Parkash Bhardwaj,02-Sep-2022 12:21 PM,finsummary_92533.pdf (449.01 KB),"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",2022_HPIPH_61299_1,EE.BHJ.tender-22-1422-1482 DT 31-05-22,Improvement of LWSS Badehar in Tehsil Bhoranj,1.0,285684.0,Priyanka Rana Govt. Contractor,INR,"750,000",1,285894,Ajay Kumar,08-Jun-2022 01:42 PM,Accepted-AOC,Accept,02-Sep-2022 12:57 PM,Executive Engineer,Internal,Anjana Kumari Tender Assistant Lalita Sharma Superintendent Gr-II Kushal Kumar HDM,OM Parkash Bhardwaj,10-Jun-2022 02:07 PM,10-Jun-2022 02:15 PM,techsummary_92533.pdf (449.01 KB),02-Sep-2022,"INR 700,000",90.0,OM Parkash Bhardwaj,02-Sep-2022 12:48 PM,AOC.pdf (526.00 KB),AOC,Technical,proceeding,OM Parkash Bhardwaj,10-Jun-2022 01:56 PM,technical_92533.pdf,Finance,proceeding,OM Parkash Bhardwaj,10-Jun-2022 03:54 PM,finance_92533.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,285757.0,RANBIR SINGH GOVT. CONTRACTOR,INR,"700,000",2,285836,Akhilesh Chaudhary,07-Jun-2022 11:13 PM,Accepted-AOC,Accept,02-Sep-2022 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration,,,,,,,,,,,,,,AOC,,,,,,,,,,,3.0,285767.0,SUNIL KUMAR,INR,"950,000",3,285816,M/s.Pawan Kumar Sharma,07-Jun-2022 09:24 PM,Rejected-Technical,Exemption of Earnest Money not valid,10-Jun-2022 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No. GST EPF Income Tax Return,,,,,,,,,,,,,,AOC,,,,,,,,,,,4.0,285836.0,Akhilesh Chaudhary,INR,"864,000",4,285684,Priyanka Rana Govt. Contractor,07-Jun-2022 04:10 PM,Accepted-AOC,Accept,02-Sep-2022 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking,,,,,,,,,,,,,,AOC,,,,,,,,,,,5.0,285894.0,Ajay Kumar,INR,"718,000",5,285757,RANBIR SINGH GOVT. CONTRACTOR,07-Jun-2022 04:18 PM,Accepted-AOC,Accept,02-Sep-2022 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,6.0,285911.0,Vishal Chauhan,INR,"795,000",6,285926,Sanat Sharma,08-Jun-2022 03:53 PM,Accepted-AOC,Accept,02-Sep-2022 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,7.0,285926.0,Sanat Sharma,INR,"750,000",7,285767,SUNIL KUMAR,07-Jun-2022 05:00 PM,Accepted-AOC,Accept,02-Sep-2022 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,285880,VINAY KUMAR GOVT CONT,08-Jun-2022 03:08 PM,Rejected-Technical,Exemption of Eearnest Money is not of required amount,10-Jun-2022 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,285680,VINAY KUMAR SHARDA,07-Jun-2022 11:18 PM,Rejected-Technical,Exemption of Eearnest Money is not of required amount,10-Jun-2022 02:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,285911,Vishal Chauhan,08-Jun-2022 02:08 PM,Accepted-AOC,Accept,02-Sep-2022 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
