S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,287836.0,TILAK RAJ,INR,"3,964,552",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,2022_HPSEB_61782_1,NIT-04/2022-23,Tender for the work Providing reliable supply to LWSS AIIMS at Kasol by Bifurcation of existing 11 KV HP Area No.-2 Feeder from exisitng 33/11 KV S Stn Slapper to Dhawal in E section Slapper-2nd under ESD Slapper. NIT 04 2022-23,Pankaj Sharma,Internal,,Pankaj Sharma,16-Sep-2022 05:14 PM,finsummary_93220.pdf (802.48 KB),Technical,Technical Bid Opening Summary,Pankaj Sharma,01-Jul-2022 02:32 PM,technical_93220.pdf,Finance,Finance Bid Opening Summary,Pankaj Sharma,08-Aug-2022 04:24 PM,finance_93220.pdf,BOQ Comparative Chart,17-Sep-2022,"INR 3,964,552",90.0,Pankaj Sharma,17-Sep-2022 01:17 PM,awardnit4.pdf (3990.00 KB),1.0,287872.0,CONT ANIL KUMAR,24-Jun-2022 10:31 AM,Rejected-Technical,Rejected,08-Aug-2022 03:06 PM,Er. Pankaj Sharma,Internal,,Pankaj Sharma,08-Aug-2022 03:06 PM,08-Aug-2022 03:10 PM,techsummary_93220.pdf (804.27 KB),AOC,1.0,ICICI BANK,Tender for the work Providing reliable supply to LWSS AIIMS at Kasol by Bifurcation of existing 11 KV HP Area No.-2 Feeder from exisitng 33/11 KV S Stn Slapper to Dhawal in E section Slapper-2nd under ESD Slapper. NIT 04 2022-23,Tender for the work Providing reliable supply to LWSS AIIMS at Kasol by Bifurcation of existing 11 KV HP Area No.-2 Feeder from exisitng 33/11 KV S Stn Slapper to Dhawal in E section Slapper-2nd under ESD Slapper. NIT 04 2022-23,Please refer Tender documents. ,NA ,"30,88,196",Electrical Works,NA ,Tender,180.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,SE Op Circle HPSEBL Bilaspur,No ,No,SE Op Circle HPSEBL Bilaspur,SE Op Circle HPSEBL Bilaspur,1.0,Corrigendum,Date,,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,NIT-04/2022-23,2022_HPSEB_61782_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,120",Nil,Nil,No,16-Jun-2022 05:00 PM,01-Jul-2022 12:00 PM,17-Jun-2022 11:00 AM,28-Jun-2022 11:00 AM,NA ,NA ,17-Jun-2022 11:00 AM,28-Jun-2022 11:00 AM,08-Aug-2022 03:10 PM,"30,882",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Cost Payment Proof,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287839.0,MS. Prem Enterprises,24-Jun-2022 04:20 PM,Rejected-Finance,Rejected,16-Sep-2022 05:14 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A-Class Electrical license,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,287836.0,TILAK RAJ,28-Jun-2022 10:55 AM,Accepted-AOC,Lowest Rates,17-Sep-2022 01:18 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover/Net Worth of the bidder certified by the Chartered Accountant,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Liquid assets /evidence to the availability of fund,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity and Bid validity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Staff, Plants and Machinery",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN/GST/EPF/Income Tax/Employees insurance,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration on non judicial stamp paper that he is not blacklisted by any state Govt. Agency/Deptt,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Commercial, Technical, Litigation deviation certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Power of Attorney, No change of ownership and other documents as per bid specifications",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,AOC
