Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
08-Sep-2022,"INR 2,934,930.1",61.0,Suresh Kumar Dhiman,08-Sep-2022 06:02 PM,zh.pdf (411.00 KB),ER S K DHIMAN,Internal,,Vinayak Kashyap,14-Dec-2021 05:05 PM,finsummary_80779.pdf (246.94 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,13-Dec-2021 05:25 PM,14-Dec-2021 11:00 AM,techsummary_80779.pdf (931.89 KB),PWD,2021_PWD_53951_1,MDII,Zonal Hospital Mandi Phase-II Block-A at Mandi HP,1.0,248431.0,KHEM CHAND,INR,"2,934,930.1",Finance,Summary,Vinayak Kashyap,14-Dec-2021 04:57 PM,finance_80779.pdf,BOQ Comparative Chart,Technical,Summary,Suresh Kumar Dhiman,13-Dec-2021 05:22 PM,technical_80779.pdf,1.0,248321.0,Balwant SIngh Thakur,07-Dec-2021 07:48 PM,Rejected-Finance,L5,14-Dec-2021 05:05 PM,AOC,PWD,MDII,2021_PWD_53951_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),","71,800",Yes,fixed,,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Zonal Hospital Mandi Phase-II Block-A at Mandi HP,"P/L tile flooring, painting, distempering and other minor repair works in ground, 1st, 2nd AND 3rd floors",Please refer Tender documents. ,NA ,"35,87,777",Civil Works,NA ,Tender,75.0,61.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,01-Dec-2021 05:00 PM,09-Dec-2021 11:30 AM,01-Dec-2021 05:00 PM,09-Dec-2021 10:00 AM,NA ,NA ,01-Dec-2021 05:00 PM,09-Dec-2021 10:00 AM,14-Dec-2021 11:00 AM,1.0,ICICI BANK,"1,500",EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,248310.0,DIGVIJAY CHAUHAN,07-Dec-2021 07:44 PM,Rejected-Technical,NON Responsive,13-Dec-2021 05:25 PM,AOC,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,248431.0,KHEM CHAND,08-Dec-2021 04:34 PM,Accepted-AOC,1,08-Sep-2022 06:02 PM,AOC,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,248455.0,Pankaj Sharma,08-Dec-2021 06:03 PM,Rejected-Finance,L4,14-Dec-2021 05:05 PM,AOC,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,248314.0,Parven Vaidya,07-Dec-2021 07:27 PM,Rejected-Finance,L3,14-Dec-2021 05:05 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,248444.0,SH. AMAR SINGH THAKUR,08-Dec-2021 05:05 PM,Rejected-Finance,L2,14-Dec-2021 05:05 PM,AOC,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
