Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,FBOS,Hitesh Sharma,29-Jul-2022 06:17 PM,finance_94639.pdf,BOQ Comparative Chart,1.0,292142.0,vineet kumar contractor,INR,"8,890,369.72",Technical,BOS,Hitesh Sharma,27-Jul-2022 12:21 PM,technical_94639.pdf,1.0,292397.0,Abishek construction works,22-Jul-2022 03:15 PM,Rejected-Technical,Being non responsive,27-Jul-2022 12:27 PM,08-Sep-2022,"INR 8,890,369.72",365.0,Chaman Singh,08-Sep-2022 04:36 PM,AOCVetyHosp..pdf (833.00 KB),AOC issued to the L-1,Superintending Engineer 1st Circle HPPWD Mandi,Internal,"Executive Engineer (D) 1st Circle, HPPWD Mandi Executive Engineer HPPWD Sundernagar CHD Supdt Works",Chaman Singh,08-Sep-2022 04:34 PM,finsummary_94639.pdf (832.79 KB),Er. D.R. Chauhan Executive Engineer,Internal,Er. Y.S. Chandel AE Suket Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Rattan Lal Superintendent Gr-II,Hitesh Sharma,27-Jul-2022 12:27 PM,29-Jul-2022 11:30 AM,techsummary_94639.pdf (980.09 KB),PWD,2022_PWD_62770_1,PW-SNR-CB-E-Ten/Giriraj- 6352-62 dt.11.7.22,"Construction of Veterinary Hospital at Maloh, Tehsil Sundernagar Distt Mandi HP",AOC,"1,75,800",Yes,fixed,,EE Sundernagar,Sundernagar,1.0,ICICI BANK,"2,000",EE Sundernagar,Sundernagar,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,15-Jul-2022 04:00 PM,23-Jul-2022 11:30 AM,15-Jul-2022 04:00 PM,22-Jul-2022 06:00 PM,NA ,NA ,15-Jul-2022 04:00 PM,22-Jul-2022 06:00 PM,29-Jul-2022 11:30 AM,"Construction of Veterinary Hospital at Maloh, Tehsil Sundernagar Distt Mandi HP","SH C/o building portion with WS and SI, RWHS, site development",As per bid document ,NA ,"87,89,296",Civil Works - Buildings,NA ,Tender,75.0,365.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,Executive Engineer,"Executive Engineer HPPWD Division Sundernagar, Distt. Mandi (HP).",PWD,PW-SNR-CB-E-Ten/Giriraj- 6352-62 dt.11.7.22,2022_PWD_62770_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,AOC
,,,,,,,,,,,,,,,,2.0,292391.0,BHARTI DEVI,22-Jul-2022 01:28 PM,Rejected-Finance,not found lowest,08-Sep-2022 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,2.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,AOC
,,,,,,,,,,,,,,,,3.0,292329.0,DEVENDER SINGH,21-Jul-2022 06:44 PM,Rejected-Technical,Being non responsive,27-Jul-2022 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC
,,,,,,,,,,,,,,,,4.0,292408.0,Pankaj Govt. Contractor,22-Jul-2022 04:40 PM,Rejected-Technical,Being on responsive,27-Jul-2022 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,AOC
,,,,,,,,,,,,,,,,5.0,292381.0,RAJAT GAUTAM,22-Jul-2022 03:40 PM,Rejected-Technical,Being non responsive,27-Jul-2022 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done / Work in hand / Bidding Capacity as per general rules No. 16 and 26.,AOC
,,,,,,,,,,,,,,,,6.0,292142.0,vineet kumar contractor,22-Jul-2022 01:08 PM,Accepted-AOC,Being L-1 and responsive,08-Sep-2022 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified in proforma of Schedule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
