Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage
ENC P JSV Mandi,Internal,CE PMU Mandi CE MZ mandi SE D ENC P mandi SE D PMU Mandi SE Sundernagar EE D PMU Mandi EE D ENC P Mandi EE Baggi Dy Controller,Suresh Mahajan,08-Apr-2022 05:39 PM,08-Apr-2022 05:45 PM,techsummary_86030.pdf (1809.23 KB),1.0,266937.0,HARJEET SINGH,20-Mar-2022 01:27 PM,Accepted-AOC,L1 Accepted,20-Sep-2022 01:08 PM,20-Sep-2022,"INR 377,313,884.64",730.0,Suresh Mahajan,20-Sep-2022 01:07 PM,AwardM3.pdf (945.00 KB),Award of Contract,Finance,Financial Proceeding,Suresh Mahajan,20-Sep-2022 01:03 PM,finance_86030.pdf,BOQ Comparative Chart,Technical,Proceeding Technical Bid,Suresh Mahajan,08-Apr-2022 05:33 PM,technical_86030.pdf,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2022_HPIPH_57020_1,3633-3683,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Multi villages water supply Scheme for 9 Nos Gram Panchayat of Chail Chowk,1.0,266937.0,HARJEET SINGH,INR,"368,684,825",ENC P JSV Mandi,Internal,CE PMU JSV Mandi CE MZ Mandi SE ENCP SE PMU SE Sundernagar EE ENC P EE PMU EE Baggi Dy Controller,Suresh Mahajan,20-Sep-2022 01:05 PM,finsummary_86030.pdf (2399.97 KB),AOC,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Multi villages water supply Scheme for 9 Nos Gram Panchayat of Chail Chowk,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of Multi villages water supply Scheme for 9 Nos Gram Panchayat of Chail Chowk area in part of block Chachyot,as per tender documents ,NA ,"28,59,37,438",Civil Works,NA ,Tender,180.0,730.0,Baggi,175027.0,CE PMU JSV Mandi ,CE PMU JSV Mandi ,04-Mar-2022 11:00 AM ,CE PMU JSV Mandi,No ,No,21-Feb-2022 05:00 PM,21-Mar-2022 11:30 AM,21-Feb-2022 06:00 PM,21-Mar-2022 11:00 AM,NA ,NA ,21-Feb-2022 06:00 PM,21-Mar-2022 11:00 AM,08-Apr-2022 05:45 PM,1.0,Fee,.pdf,Bid Security,CE PMU JSV Mandi,CE PMU JSV Mandi,"2,500",Nil,Nil,No,"28,59,000",No,fixed,,Nil,Nil,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,3633-3683,2022_HPIPH_57020_1,Yes,Global Tenders,Item Rate,Works,3.0,No,No,Online,No,No,No,1.0,Prebid Annexure,Other,,1.0,ICICI BANK,AOC
,,,,,,,2.0,270986.0,R.G. INDUSTRIES,21-Mar-2022 10:44 AM,Rejected-Finance,L3,20-Sep-2022 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Bid Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,3.0,270890.0,Unipro Techno Infrastructure Pvt Ltd,19-Mar-2022 03:50 PM,Rejected-Finance,L2,20-Sep-2022 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration with JSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid form as per Chapter IV of Form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Similar Nature of work during last 7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Undertaking as per Chapter IV of form 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Make model of the proposed pumping machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of WTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
