Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
26-Sep-2022,"INR 1,734,368",30.0,Baldev Singh,13-Apr-2023 01:15 PM,Awardletter.pdf (958.00 KB),Awardletter,"Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,24-Aug-2022 05:50 PM,finsummary_95278.pdf (469.31 KB),"Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,16-Aug-2022 02:19 PM,18-Aug-2022 10:00 AM,techsummary_95278.pdf (614.62 KB),PWD,2022_PWD_63215_1,Job 2 Improvement of black spot at Santokhgarh Pol,Job 2 Improvement of black spot at Santokhgarh Polian Road RD 0-00 to 13-400 Sub Head P.L W-beam crash Barrier at RD. 5-010 to 5-150 LHS and RCC Crash Barrier in RD 5-160 to 5-175 LHS and 5-190 to 5-230 RHS Under Black Spot,Technical,TechnicalBidOpeningSummary,Rajesh Kumar,08-Aug-2022 02:46 PM,technical_95278.pdf,1.0,294295.0,Balbir Singh Govt Contractor,05-Aug-2022 04:46 PM,Rejected-Finance,Not L-1,24-Aug-2022,1.0,294524.0,Jaiveer Singh,INR,"1,494,028",Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,24-Aug-2022 04:25 PM,finance_95278.pdf,BOQ Comparative Chart,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,Job 2 Improvement of black spot at Santokhgarh Polian Road RD 0-00 to 13-400 Sub Head P.L W-beam crash Barrier at RD. 5-010 to 5-150 LHS and RCC Crash Barrier in RD 5-160 to 5-175 LHS and 5-190 to 5-230 RHS Under Black Spot,Job 2 Improvement of black spot at Santokhgarh Polian Road RD 0-00 to 13-400 Sub Head P.L W-beam crash Barrier at RD. 5-010 to 5-150 LHS and RCC Crash Barrier in RD 5-160 to 5-175 LHS and 5-190 to 5-230 RHS Under Black Spot,Please refer to Bidding Documents ,NA ,"17,34,368",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"33,600",No,fixed,,Nil,Nil,01-Aug-2022 09:00 AM,06-Aug-2022 11:00 AM,01-Aug-2022 09:00 AM,06-Aug-2022 09:00 AM,NA ,NA ,01-Aug-2022 09:00 AM,06-Aug-2022 09:00 AM,18-Aug-2022 10:00 AM,1.0,ICICI BANK,PWD,Job 2 Improvement of black spot at Santokhgarh Pol,2022_PWD_63215_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,294524.0,Jaiveer Singh,05-Aug-2022 08:02 PM,Accepted-AOC,ok,13-Apr-2023,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,294472.0,SUMIT SEHGAL,05-Aug-2022 04:19 PM,Rejected-Finance,Not L-1,24-Aug-2022,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,293972.0,Tilak Raj Govt Contractor,05-Aug-2022 06:22 PM,Rejected-Finance,Not L-1,24-Aug-2022,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,293928.0,Vikas puri,05-Aug-2022 02:20 PM,Rejected-Finance,Not L-1,24-Aug-2022,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
