Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Instrument Type,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address
Technical,tehnicalevaluation,Kulbir Singh Thakur,25-Jun-2022 03:49 PM,technical_93229.pdf,1.0,288160.0,Manisha Sharma,23-Jun-2022 07:29 PM,Rejected-Finance,Being L3,28-Jun-2022,1.0,288175.0,MANISH MOHAN SHARMA,INR,"1,326,768",Finance,Financial bid opening summary,Kulbir Singh Thakur,28-Jun-2022 02:47 PM,finance_93229.pdf,BOQ Comparative Chart,22-Sep-2022,"INR 1,326,768",180.0,Kulbir Singh Thakur,18-Aug-2023 02:54 PM,mnishmohanaward.pdf (272.00 KB),Award,Er Kulbir Singh Thakur EE,Internal,"Ms Akriti Aggarwal DAO, Sh Ghanshyam Mehta HDM, Sh Rajinder Singh Supdt GrII, Smt. Samriti Verma TA",Kulbir Singh Thakur,28-Jun-2022 02:51 PM,finsummary_93229.pdf (524.84 KB),"Er Kulbir Thakur, EE",Internal,Miss Akriti Aggarwal AO Sh Ghanshyam Mehta HDM Sh Rajender Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,25-Jun-2022 03:51 PM,25-Jun-2022 04:00 PM,techsummary_93229.pdf (514.48 KB),PWD,2022_PWD_61781_1,1598-1628,O/R on Kalka Shimla Wangtoo Road on NH 22 (NH 05) from km 131/00 to 140/00 and 0/0 to 13/00 on Shimla Bye Pass,O/R on Kalka Shimla Wangtoo Road on NH 22 (NH 05) from km 131/00 to 140/00 and 0/0 to 13/00 on Shimla Bye Pass,"Hiring of excavator cum loader, Hiring of tipper for removal of slips/debris etc, for rainy season for the year 2022-23) ( Against NHAI Deposit)",please refer tender document ,NA ,"18,95,382",Civil Works,NA ,Tender,120.0,180.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,16-Jun-2022 05:00 PM,24-Jun-2022 11:00 AM,16-Jun-2022 05:00 PM,24-Jun-2022 10:30 AM,NA ,NA ,16-Jun-2022 05:00 PM,24-Jun-2022 10:30 AM,25-Jun-2022 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest money and cot of tender,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,1598-1628,2022_PWD_61781_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,500.0,EE NH Division HPPWD Solan,Solan,No,"38,000",No,fixed,,EE NH Division HPPWD Solan,Solan,EE Nh Division HPPWD Solan,EE NH Division HPPWD Solan
,,,,,2.0,288175.0,MANISH MOHAN SHARMA,23-Jun-2022 10:27 PM,Accepted-AOC,being L1,18-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration,2.0,BG - Bank Guarantee,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,288107.0,vikas sharma,24-Jun-2022 10:25 AM,Rejected-Finance,Being L2,28-Jun-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,3.0,FDR - Fixed Deposit,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/Sales tax,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"list of machinery, tools and plants",,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of all the documents,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding gazetted and non gazetted employees in HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
