Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Bid opening summary,Sudhir Kumar Gupta,20-May-2022 12:33 PM,finance_90734.pdf,BOQ Comparative Chart,1.0,281396.0,Vinay Thakur,INR,"16,504,933",Technical,opening summary,Parveen Kumar Verma,19-May-2022 02:48 PM,technical_90734.pdf,1.0,281292.0,Brijesh Kanwar,09-May-2022 02:45 PM,Rejected-Technical,no,19-May-2022 02:50 PM,26-Sep-2022,"INR 16,990,106",180.0,Sudhir Kumar Gupta,26-Sep-2022 09:43 AM,AOC60017_1.pdf (94.00 KB),AOC,ErSudhirGupta,Internal,ShSureshKumarHDMShR.S ThakurSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,03-Aug-2022 12:37 PM,finsummary_90734.pdf (94.15 KB),ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,19-May-2022 02:50 PM,19-May-2022 04:00 PM,techsummary_90734.pdf (918.61 KB),PWD,2022_PWD_60017_1,SD-I-CTR-Tender-1471 dated 27-04-2022,"Widening/Improvement of MRR via Lakkar Bazar km. 147/825 to 153/075 (SH C/O widening of road at 149/500 to 149/560, C/O U-Shape drain between km. 147/900 to 150/100 and C/O raised foot path between km. 147/900 to 150/100 and C/O raised foot path betw",AOC,"5,000",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,"3,39,600",No,fixed,,Nil,Nil,1.0,Corrigendum,Date,,30-Apr-2022 06:00 PM,12-May-2022 11:00 AM,30-Apr-2022 06:00 PM,11-May-2022 04:00 PM,NA ,NA ,30-Apr-2022 06:00 PM,11-May-2022 04:00 PM,19-May-2022 04:00 PM,"Widening/Improvement of MRR via Lakkar Bazar km. 147/825 to 153/075 (SH C/O widening of road at 149/500 to 149/560, C/O U-Shape drain between km. 147/900 to 150/100 and C/O raised foot path between km. 147/900 to 150/100 and C/O raised foot path betw","Widening/Improvement of MRR via Lakkar Bazar km. 147/825 to 153/075 (SH C/O widening of road at 149/500 to 149/560, C/O U-Shape drain between km. 147/900 to 150/100 and C/O raised foot path between km. 147/900 to 150/100 and C/O raised foot path betw",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,180.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),PWD,SD-I-CTR-Tender-1471 dated 27-04-2022,2022_PWD_60017_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,281523.0,Hari Bhushan,10-May-2022 02:02 PM,Rejected-Technical,no,19-May-2022 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,280658.0,HARMANJOT SINGH,09-May-2022 11:18 AM,Rejected-Finance,3rd Lowest,03-Aug-2022 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,281504.0,RAJESH SHARMA,11-May-2022 01:43 PM,Rejected-Finance,2nd Lowest,03-Aug-2022 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.18),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,281396.0,Vinay Thakur,09-May-2022 08:16 PM,Accepted-AOC,Awarded,26-Sep-2022 09:43 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,AOC
