Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2131-2180,2021_HPIPH_54583_1,Yes,Global Tenders,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,500",CE PMU Mandi,Mandi,No,1.0,Corrigendum 2,Date,,CE PMU JSV Mandi,CE PMU JSV Mandi 175001,1.0,Fee/PreQual/Technical,.pdf,Tender form cost,1.0,ICICI BANK,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Mandi,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Mandi,Please refer Tender documents. ,NA ,"93,42,00,000",Civil Works,NA ,Tender,120.0,730.0,Mandi,175001.0,CE PMU JSV Mandi ,CE PMU JSV Mandi ,21-Dec-2021 03:00 PM ,CE PMU JSV Mandi,No ,No,11-Dec-2021 10:00 AM,17-Jan-2022 03:30 PM,11-Dec-2021 10:00 AM,17-Jan-2022 03:00 PM,NA ,NA ,03-Jan-2022 11:00 AM,17-Jan-2022 03:00 PM,02-Mar-2022 03:00 PM,"93,43,000",Yes,fixed,,CE PMU Mandi,Mandi,AOC,1.0,255652.0,NKG INFRASTRUCUTRE LIMITED,17-Jan-2022 12:41 PM,Rejected-Finance,L2,28-Sep-2022 01:15 PM,E in C Project JSV mandi,Internal,CE PMU Mandi CE MZ Mandi SE PMU Mandi SE Circle Sundernagar EE ENC P Mandi EE Division Mandi EE PMU Mandi Dy Controller PMU Mandi,Suresh Mahajan,26-Feb-2022 04:48 PM,02-Mar-2022 03:00 PM,techsummary_81749.pdf (2621.76 KB),Technical,Technical Bid Evaluation Report,Suresh Mahajan,26-Feb-2022 04:44 PM,technical_81749.pdf,Finance,MOM,Suresh Mahajan,28-Sep-2022 01:07 PM,finance_81749.pdf,BOQ Comparative Chart,28-Sep-2022,"INR 1,223,550,000",730.0,Suresh Mahajan,28-Sep-2022 01:23 PM,LOAMZ02.pdf (535.00 KB),LOA,ENCP JSV mandi,Internal,CE PMU CE MZ SE SNR SE ENCP SE PMU EE ENCP EE PMU EE Baggi EE Mandi EE Sundernagar EE Karsog Dy Controller,Suresh Mahajan,28-Sep-2022 01:15 PM,finsummary_81749.pdf (1885.35 KB),1.0,255000.0,Unipro Techno Infrastructure Pvt Ltd,INR,"1,099,277,407.5",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_54583_1,2131-2180,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Mandi,AOC
,,,,,,,,,,,,,,,,,,2.0,Corrigendum 4,Other,,,,,,.pdf,Earnest Money/Bid Security,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,255757.0,R.G. INDUSTRIES,17-Jan-2022 02:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2022 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,255000.0,Unipro Techno Infrastructure Pvt Ltd,16-Jan-2022 04:34 PM,Accepted-AOC,L1,28-Sep-2022 01:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary evidence in accordance with ITB 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Written confirmation authorizing the signatory in accordance with ITB 22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking that I have carefully studied all terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary evidence in accordance with ITB 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
