Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Instrument Type,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.3,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"5,000",EE Nh Division HPPWD Solan,Solan,No,1.0,Fee/PreQual/Technical,.pdf,earnest money and cosy of tender,"Executive Engineer, Nh Division, HPPWD Solan","Executive Engineer, Nh Division, HPPWD Solan",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"2,95,000",No,fixed,,EE Nh Division HPPWD Solan,Solan,1.0,corrigendum 1,Date,,16-Jun-2022 05:00 PM,01-Jul-2022 11:00 AM,16-Jun-2022 05:00 PM,01-Jul-2022 10:30 AM,NA ,NA ,16-Jun-2022 05:00 PM,01-Jul-2022 10:30 AM,12-Jul-2022 01:20 PM,PWD,1598-1628,2022_PWD_61769_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Ordinary Repair on Pinjore Baddi Nalagarh Swarghat Road NH 21 A (New NH 105) Km 35/00 to 66/275,Construction of R/ Wall B /Wall with U Shape Drain and B.Wall with V Shape Drain at Various locations between km 49.500 to 65.500,please refer tender document ,NA ,"1,47,29,182",Civil Works,NA ,Tender,120.0,270.0,nalagarh,174101.0,NA ,NA ,NA ,"Executive Engineer, Nh Division, HPPWD Solan",No ,No,1.0,DD - Demand Draft,PWD,2022_PWD_61769_1,1598-1628,Ordinary Repair on Pinjore Baddi Nalagarh Swarghat Road NH 21 A (New NH 105) Km 35/00 to 66/275,Er Kulbir singh Thakur EE,Internal,Miss Akriti Aggarwal DAO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,12-Jul-2022 01:19 PM,12-Jul-2022 01:20 PM,techsummary_93205.pdf (749.60 KB),Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggarwal DAO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,12-Jul-2022 04:06 PM,finsummary_93205.pdf (259.53 KB),19-Sep-2022,"INR 10,310,427",270.0,Kulbir Singh Thakur,18-Aug-2023 03:39 PM,lakhwinderLOA.pdf (487.00 KB),LOA,1.0,289477.0,lakhwinder thakur govt. contractor,INR,"10,310,427",Finance,financial summary,Kulbir Singh Thakur,12-Jul-2022 03:52 PM,finance_93205.pdf,BOQ Comparative Chart,1.0,289479.0,Dinesh Chauhan,01-Jul-2022 07:38 AM,Rejected-Finance,Being L2,12-Jul-2022,Technical,techevaluation,Kulbir Singh Thakur,12-Jul-2022 01:15 PM,technical_93205.pdf
,,,,,,.pdf,contractor registration,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,289477.0,lakhwinder thakur govt. contractor,01-Jul-2022 09:13 AM,Accepted-AOC,being L1,18-Aug-2023,,,,,
,,,,,,.pdf,EPF Number,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,288163.0,moin,23-Jun-2022 08:40 PM,Rejected-Finance,being L4,12-Jul-2022,,,,,
,,,,,,.pdf,GST/Sales tax,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,289408.0,Rajender Sharma,30-Jun-2022 02:39 PM,Rejected-Finance,Being L3,12-Jul-2022,,,,,
,,,,,,.pdf,"List of machinery, tools and plants",,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,288156.0,Rajinder Sharma,23-Jun-2022 06:51 PM,Not Admitted-Fee/PreQual/Technical,Others-submitted in duplicate by the contractor,12-Jul-2022,,,,,
,,,,,,.pdf,Affidavit regarding correctness of all the documents,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,287744.0,RAVINDER KUMAR,30-Jun-2022 03:50 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Jul-2022,,,,,
,,,,,,.pdf,Affidavit regarding gazetted and non-gazetted employees in HPPWD related to him,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,288082.0,Vinay Thakur,23-Jun-2022 02:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Jul-2022,,,,,
,,,,,,.pdf,Work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,.pdf,Working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
