Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
11-May-2022 09:00 AM,10-Jun-2022 02:30 PM,11-May-2022 09:15 AM,10-Jun-2022 02:00 PM,11-May-2022 09:30 AM ,20-May-2022 11:00 AM ,11-May-2022 09:30 AM,10-Jun-2022 02:00 PM,08-Jul-2022 02:30 PM,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,EMD,1.0,SBI Bank,"Chief Engineer,(EAP) PWRD,Assam","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025",Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/58/2022/23,2022_PWRDW_25500_6,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,"1,89,500",Yes,fixed,,Nil,Nil,Chandrapravasaikiani PWD road to Karuna Pathak House in Bajali District,"APART/NOCP/ROADS/BAJ-02 Construction of road from Chandrapravasaikiani PWD road to Karuna Pathak House Saloipara village, Bar Saderi and Bajali district in Bajali District (length 0.75 KM) under APART",Please refer Tender documents. ,NA ,"94,75,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Bajali District,781325.0,"O/o The Chief Engineer,(EAP) PWRD,Assam ","O/o The Chief Engineer,(EAP) PWRD,Assam Fatasil Ambari,Guwahati- 781025 ",20-May-2022 11:00 AM ,"O/o The Chief Engineer,(EAP) PWRD,Assam",No ,No,AOC,1,148831,ABBASUZ ZAMAN,09-Jun-2022 11:10 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 09:26 PM,Technical,Technical bids has been opened,Sanjita Bodo,13-Jun-2022 07:09 PM,,07-Sep-2022,INR 7277041.4,270.0,Sanjita Bodo,09-Sep-2022 01:03 PM,WO_Rd_ChandraprabhaSaikiani.pdf (850.00 KB),Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_25500_6,CE/APART/58/2022/23,Chandrapravasaikiani PWD road to Karuna Pathak House in Bajali District,1.0,149830.0,Prasanta Bayan,INR,7277041.0,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",Pallavi Chakravorty,24-Aug-2022 07:05 PM,finsummary_39391.pdf (1173.11 KB),Finance,Financial Bids has been opened,Pallavi Chakravorty,08-Jul-2022 05:29 PM,,BOQ Comparative Chart,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer(Planning),CE,PWRD(Roads),Assam",Pallavi Chakravorty,07-Jul-2022 09:26 PM,08-Jul-2022 02:30 PM,techsummary_39391.pdf (179.78 KB),AOC
,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,149117,BIRENDRA KUMAR PRASAD,10-Jun-2022 10:37 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,149732,Biswajit Medhi,09-Jun-2022 11:37 PM,Rejected-Finance,Rejected as L4,24-Aug-2022 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,149935,DHARMESWAR PATHAK,10-Jun-2022 12:34 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,150065,Dhrubajyoti Dutta,09-Jun-2022 02:23 PM,Rejected-Finance,Rejected as L2,24-Aug-2022 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,149806,DIPAK DAS,10-Jun-2022 01:22 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,150108,Hitesh Kumar Das,10-Jun-2022 11:37 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,150006,MS Clarion Projects,09-Jun-2022 10:48 PM,Rejected-Finance,Rejected as L5,24-Aug-2022 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,148684,M/S. PRIDE EAST CONSTRUCTION,10-Jun-2022 12:04 PM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,150114,M/S TRIRANV ASSOCIATES,10-Jun-2022 09:24 AM,Rejected-Technical,As per the decision of Bid Evaluation Committee.,07-Jul-2022 09:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
