Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. Vijay kumar Verma,Internal,"Divisional Head Draughtsman, HPPWD, Kangra, Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra",Sushil Kumar Dhadwal,21-Sep-2022 01:36 PM,finsummary_81252.pdf (775.79 KB),29-Sep-2022,"INR 8,182,324",365.0,Sushil Kumar Dhadwal,21-Sep-2022 01:38 PM,AOC.pdf (620.00 KB),AOC,PWD,2021_PWD_54251_1,9886-9935,C/O Balance work for 50.00mtr span C/C of bearing PSC Box Girder bridge over Brahal Khad on Morchh Gharghuin road km.1/726 along with approaches,Er. Vijay Kumar Verma,Internal,"Sh. Bheem Ram (DHD), Kangra Divn., Sh. Jiwan Singh, (Supdt. HPPWD, Kangra. (Gr-II), D.A.O. (Gr-I), HPPWD, Kangra",Vijay Kumar Verma,05-Jan-2022 12:37 PM,11-Jan-2022 11:30 AM,techsummary_81252.pdf (1313.34 KB),1.0,248876.0,SANJEEV KUMAR GOVT CONTRACTOR,INR,"12,955,763",Finance,Summary,Sushil Kumar Dhadwal,21-Sep-2022 01:30 PM,finance_81252.pdf,BOQ Comparative Chart,Technical,Summary,Vijay Kumar Verma,05-Jan-2022 12:28 PM,technical_81252.pdf,1.0,248525.0,Manish dhadwal,12-Dec-2021 01:21 PM,Rejected-Technical,Not responsive,05-Jan-2022 12:37 PM,AOC,"Executive Engineer, HPPWD, Division, Kangra","Executive Engineer, HPPWD, Division, Kangra",C/O Balance work for 50.00mtr span C/C of bearing PSC Box Girder bridge over Brahal Khad on Morchh Gharghuin road km.1/726 along with approaches,"(SH C/O Balance work of Sub Structure, Super Structure along with R/Wall Gharghuin side RD.1/790 to 1/852).",Please refer Tender documents. ,NA ,"81,82,324",Civil Works - Bridges,NA ,Tender,120.0,365.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,"2,000",Nil,Nil,No,04-Dec-2021 09:00 AM,13-Dec-2021 11:00 AM,04-Dec-2021 09:00 AM,13-Dec-2021 10:30 AM,NA ,NA ,04-Dec-2021 10:00 AM,13-Dec-2021 10:30 AM,11-Jan-2022 11:30 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),PWD,9886-9935,2021_PWD_54251_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"67,400",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,248665.0,Nageshwer Mankotia,13-Dec-2021 09:45 AM,Rejected-Technical,Not responsive,05-Jan-2022 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,248856.0,Sandeep Govt Contractor,11-Dec-2021 04:44 PM,Rejected-Finance,rate higher side,21-Sep-2022 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department and detail of litigation case,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,248876.0,SANJEEV KUMAR GOVT CONTRACTOR,11-Dec-2021 03:58 PM,Accepted-AOC,Award,21-Sep-2022 01:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,248681.0,sanjeev singh govt contractor,13-Dec-2021 09:45 AM,Rejected-Technical,Not responsive,05-Jan-2022 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,40percent similar nature workdone of estimated cost or building work similar amount frame structurer,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand in 5th Circle,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of equipment to be provided by the contractor at site as per Sr. No. 6.14 refer clause No 10(A),,,,,,,,,,,,,,,,,,,,,AOC
