Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
14-Sep-2022,"INR 2,059,777",90.0,Rattan Kumar Sharma,21-Sep-2022 11:30 AM,105.pdf (1215.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,18-Aug-2022 11:48 AM,finsummary_94794.pdf (226.50 KB),Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,10-Aug-2022 02:35 PM,11-Aug-2022 10:30 AM,techsummary_94794.pdf (592.22 KB),PWD,2022_PWD_62866_9,Sangrah 3970-4000 dated 14.07.2022,Construction of link road from Davkhan Mod to Khwander Bhathan Bhajond km. 0/00 to 6/00 (SH Formation Cutting in km. 1/705 to 2/570 and C/O 900mm dia RCC hume pipe culvert at RD. 0/945 with wing wall in Random Rubble Masonry CM 1 6) Unde,Technical,Summary,Rattan Kumar Sharma,08-Aug-2022 11:53 AM,technical_94794.pdf,1.0,293335.0,Ashok Kumar,28-Jul-2022 02:43 PM,Rejected-Finance,L2,18-Aug-2022 11:48 AM,1.0,293446.0,JAI PRAKASH,INR,"2,059,777",Finance,Summary,Rattan Kumar Sharma,18-Aug-2022 11:07 AM,finance_94794.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah","1,500",Nil,Nil,No,21-Jul-2022 05:00 PM,29-Jul-2022 10:30 AM,21-Jul-2022 05:00 PM,29-Jul-2022 10:00 AM,NA ,NA ,21-Jul-2022 05:00 PM,29-Jul-2022 10:00 AM,11-Aug-2022 10:30 AM,PWD,Sangrah 3970-4000 dated 14.07.2022,2022_PWD_62866_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"58,900",No,fixed,,Nil,Nil,Construction of link road from Davkhan Mod to Khwander Bhathan Bhajond km. 0/00 to 6/00 (SH Formation Cutting in km. 1/705 to 2/570 and C/O 900mm dia RCC hume pipe culvert at RD. 0/945 with wing wall in Random Rubble Masonry CM 1 6) Unde,Construction of link road from Davkhan Mod to Khwander Bhathan Bhajond km. 0/00 to 6/00 (SH Formation Cutting in km. 1/705 to 2/570 and C/O 900mm dia RCC hume pipe culvert at RD. 0/945 with wing wall in Random Rubble Masonry CM 1 6) Unde,Please refer Tender documents. ,NA ,"29,42,315",Civil Works,NA ,Tender,75.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,293446.0,JAI PRAKASH,28-Jul-2022 08:53 PM,Accepted-AOC,AOC,21-Sep-2022 11:30 AM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,24.4. GST CLEARANCE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
