Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,Letter No. 1919 dated 25-05-2022,2022_PWD_61589_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,"16,000",Yes,fixed,,Nil,Nil,Executive Engineer Bhoranj Division HP.PWD Bhoranj,Executive Engineer Bhoranj Division HP.PWD Bhoranj,350.0,Nil,Nil,Yes,"Special Repair to HPPWD Rest House at Samirpur SH P.L wooden paneling, curtain, carpets, foot mats and other minor repair including painting and polishing etc in rest building at Samirpur","Special Repair to HPPWD Rest House at Samirpur SH P.L wooden paneling, curtain, carpets, foot mats and other minor repair including painting and polishing etc in rest building at Samirpur",Please refer Tender documents. ,NA ,"7,96,851",Civil Works - Buildings,NA ,Tender,75.0,90.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,09-Jun-2022 02:00 PM,16-Jun-2022 11:30 AM,09-Jun-2022 02:00 PM,16-Jun-2022 10:30 AM,NA ,NA ,09-Jun-2022 02:00 PM,16-Jun-2022 10:30 AM,25-Jun-2022 11:30 AM,AOC,"Executive Engineer, Bhoranj Division HPPWD Bhoranj",Internal,Supdt.Gr.II HDM DAO A.E.,Arvind Lakhanpal,24-Jun-2022 10:59 AM,25-Jun-2022 11:30 AM,techsummary_92927.pdf (1104.41 KB),PWD,2022_PWD_61589_1,Letter No. 1919 dated 25-05-2022,"Special Repair to HPPWD Rest House at Samirpur SH P.L wooden paneling, curtain, carpets, foot mats and other minor repair including painting and polishing etc in rest building at Samirpur",16-Sep-2022,"INR 824,328",90.0,Arvind Lakhanpal,16-Sep-2022 03:23 PM,61589.pdf (1288.00 KB),Work awarded to Sh. Suresh kumar,Executive Engineer,Internal,HDM DAO Supdt GrII,Arvind Lakhanpal,16-Sep-2022 03:12 PM,finsummary_92927.pdf (498.64 KB),1.0,286827.0,BRAHAM DASS SHARMA,15-Jun-2022 09:00 PM,Rejected-AOC,2nd lowest,16-Sep-2022 03:25 PM,Technical,Techincal bid summary attached,Arvind Lakhanpal,24-Jun-2022 10:56 AM,technical_92927.pdf,1.0,286263.0,SURESH KUMAR GOVT CONT,INR,"824,328",Finance,EE HPPWD Bhoranj HDM HPPWD Bhoranj DAO HPPWD Bhoranj Supdtt GrII,Arvind Lakhanpal,16-Sep-2022 03:08 PM,finance_92927.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287060.0,RAKESH CHAND GOVT. CONTRACTOR,15-Jun-2022 05:38 PM,Rejected-AOC,5th lowest,16-Sep-2022 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,287003.0,SANJEEV KUMAR GOVT CONTRACTOR,15-Jun-2022 01:48 PM,Rejected-AOC,4th lowest,16-Sep-2022 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,286995.0,SUBHASH CHAND GOVT. CONTRACTOR,15-Jun-2022 01:14 PM,Rejected-AOC,3rd lowest,16-Sep-2022 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,286263.0,SURESH KUMAR GOVT CONT,10-Jun-2022 05:44 PM,Accepted-AOC,1st lowest,16-Sep-2022 03:25 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
