Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
C/O Ratti Pul to Alathu via Sai road km 0/0 to 1/735 under SCSP,C/O 6.00 mtr RCC slab culvert at RD 0/011 and wing walls on both side approaches at RD 0/0 to 0/008 and 0/014 to 0/022,Please refer Tender documents. ,NA ,"40,38,386",Civil Works,NA ,Tender,75.0,90.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F),",27-Apr-2022 06:00 PM,05-May-2022 11:30 AM,27-Apr-2022 06:00 PM,05-May-2022 10:30 AM,NA ,NA ,27-Apr-2022 06:00 PM,05-May-2022 10:30 AM,07-May-2022 03:00 PM,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,"2,000",Nil,Nil,No,"80,800",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,MDII,2022_PWD_60009_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1.0,280276.0,GIRDHARI LAL,03-May-2022 06:15 PM,Rejected-Finance,L3,07-May-2022 03:28 PM,1.0,Tender Revocation,Tender Revocation,07-May-2022 01:18 PM,techsummary.pdf ,321.54,Technical Opening,Technical,Summary,Vinayak Kashyap,07-May-2022 02:55 PM,technical_90723.pdf,1.0,280592.0,Lalit Kumar,INR,"3,129,749",Finance,Summary,Suresh Kumar Dhiman,07-May-2022 03:24 PM,finance_90723.pdf,BOQ Comparative Chart,PWD,2022_PWD_60009_1,MDII,C/O Ratti Pul to Alathu via Sai road km 0/0 to 1/735 under SCSP,ER S K DHIMAN,Internal,,Vinayak Kashyap,07-May-2022 02:57 PM,07-May-2022 03:00 PM,techsummary_90723.pdf (335.36 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,07-May-2022 03:28 PM,finsummary_90723.pdf (152.00 KB),08-Sep-2022,"INR 3,129,749",90.0,Suresh Kumar Dhiman,08-Sep-2022 05:54 PM,rattipul.pdf (550.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Earnest money(indicated in Schedule-F),",,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,2.0,280167.0,HEM SINGH,03-May-2022 10:53 AM,Rejected-Finance,L2,07-May-2022 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,280592.0,Lalit Kumar,05-May-2022 10:21 AM,Accepted-AOC,1,08-Sep-2022 05:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST(General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,280673.0,nitish thakur,04-May-2022 10:01 PM,Rejected-Technical,NON Responsive,07-May-2022 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,280207.0,Sohan lal,04-May-2022 12:22 PM,Rejected-Finance,L4,07-May-2022 03:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,279968.0,yogesh,02-May-2022 10:55 AM,Rejected-Technical,NON Responsive,07-May-2022 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7.0,280567.0,YOGINDER PAL,04-May-2022 02:26 PM,Rejected-Technical,NON Responsive,07-May-2022 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
