Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,2022_PWD_60703_10,EE Dehra Letter No.1277-82 dated 05.05.2022,Periodic Renewal on Tihri to Daloh road for the year 2022-23 under Village Road,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,07-Sep-2022 12:17 PM,finsummary_91724.pdf (209.90 KB),1.0,283575.0,ashish chaudhry,INR,"2,609,779",07-Sep-2022,"INR 2,609,779",30.0,Dinesh Kumar Dhiman,07-Sep-2022 12:32 PM,Award60703_10.pdf (645.00 KB),Work award issued,1.0,283552.0,aditya rana,24-May-2022 12:05 PM,Rejected-Finance,Highest Bidder,07-Sep-2022 12:17 PM,EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,28-May-2022 04:56 PM,28-May-2022 05:15 PM,techsummary_91724.pdf (1322.26 KB),Technical,Technical bid opened on 26.05.2022,Dinesh Kumar Dhiman,28-May-2022 04:53 PM,technical_91724.pdf,Finance,Summary,Dinesh Kumar Dhiman,07-Sep-2022 11:40 AM,finance_91724.pdf,BOQ Comparative Chart,AOC,"1,500",Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,"60,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,17-May-2022 06:30 PM,25-May-2022 11:30 AM,17-May-2022 06:30 PM,24-May-2022 06:00 PM,17-May-2022 06:30 PM ,21-May-2022 06:00 PM ,17-May-2022 06:30 PM,24-May-2022 06:00 PM,28-May-2022 05:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,PWD,EE Dehra Letter No.1277-82 dated 05.05.2022,2022_PWD_60703_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Periodic Renewal on Tihri to Daloh road for the year 2022-23 under Village Road,"Providing and laying 30mm thick Bituminous Concrete with Paver Finisher in Km 0/950 to 1/100, 1/290 to 1/390, 1/480 to 1/690, 1/840 to 4/000",Please refer to tender documents  ,NA ,"29,85,143",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,283575.0,ashish chaudhry,24-May-2022 04:30 PM,Accepted-AOC,L1,07-Sep-2022 12:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,283624.0,Rohit,24-May-2022 03:47 PM,Rejected-Finance,Highest Bidder,07-Sep-2022 12:17 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,283596.0,Sanjal Sharma,24-May-2022 02:06 PM,Rejected-Finance,Highest Bidder,07-Sep-2022 12:17 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
