Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er Rajeev Sharma SE,Internal,EE D EE Joginder Nagar AE D Supdt Gr I,Eshant Thakur,06-Apr-2022 03:46 PM,finsummary_85403.pdf (1772.28 KB),19-May-2022,"INR 40,906,098",730.0,Sanjiv Kumar,08-Sep-2022 11:46 AM,AOC.pdf (680.00 KB),AOC and LOA,PWD,2022_PWD_56682_1,PW-SE-JNR-NABARD-2021-8478-577 dt.10-02-2022,Construction and M/T of Pandol Patnu road Km. 0/0 to 2/600 including1No. bridge over Patnu Nallah under RIDF-XXVII,Er Rajeev Sharma SE,Internal,EE D EE Joginder Nagar AE D Supdt Gr I,Eshant Thakur,19-Mar-2022 05:21 PM,26-Mar-2022 11:00 AM,techsummary_85403.pdf (2539.72 KB),1.0,266917.0,RAKESH SHARMA,INR,"31,944,686.7",Finance,financial summary,Eshant Thakur,26-Mar-2022 12:41 PM,finance_85403.pdf,BOQ Comparative Chart,Technical,technical summary,Eshant Thakur,19-Mar-2022 05:18 PM,technical_85403.pdf,1.0,Revocation of tender due to bidder representation,Revocation of tender due to bidder representation vide this office corrigendum No. 9579 9626 dt 16th March 2022,16-Mar-2022 08:07 PM,Corr124.pdf ,257.58,Technical Opening,1.0,266946.0,ANURAG SHARMA,27-Feb-2022 07:21 PM,Rejected-AOC,L2 bidder,08-Sep-2022 11:47 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Form of bid for Part I of the bid, as per format given in section 6",Superintending Engineer Joginder Nagar,"Superintending Engineer JNR Circle HP PWD, Joginder Nagar",Construction and M/T of Pandol Patnu road Km. 0/0 to 2/600 including1No. bridge over Patnu Nallah under RIDF-XXVII,"F/C C/O wire crates/gabion walls, R/walls B/wall P/L M/T CC pavement C/o road side parapets Providing and erecting W metal beam crash barriers C/O v-shape and u-shape drain X-drainage work and C/o 15.25mtr. span RCC T-Beam bridge i/c five year maint",As per SBD ,NA ,"4,09,06,098",Civil Works - Roads,NA ,Tender,75.0,730.0,Lad Bharol,175032.0,NA ,NA ,NA ,Superintending Engineer Joginder Nagar,No ,No,"5,000",Nil,Nil,No,PWD,PW-SE-JNR-NABARD-2021-8478-577 dt.10-02-2022,2022_PWD_56682_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Feb-2022 10:00 AM,28-Feb-2022 11:30 AM,17-Feb-2022 10:00 AM,28-Feb-2022 10:00 AM,NA ,NA ,17-Feb-2022 10:00 AM,28-Feb-2022 10:00 AM,26-Mar-2022 11:00 AM,1.0,ICICI BANK,"8,18,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,266975.0,Kuldeep Chand Rana,28-Feb-2022 09:25 AM,Rejected-AOC,L3 bidder,08-Sep-2022 11:47 AM,AOC,,,.pdf,Scanned copy of the Demand Draft for the cost of the bidding documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,266917.0,RAKESH SHARMA,27-Feb-2022 07:35 PM,Accepted-AOC,L1 bidder,08-Sep-2022 11:47 AM,AOC,,,.pdf,Scanned copy of the Bid Security in any of the forms as specified in clause 16.2 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,267018.0,VISHAL RAJPUT,28-Feb-2022 09:38 AM,Rejected-Technical,Non Responsive,19-Mar-2022 05:21 PM,AOC,,,.pdf,Authorized address and contact details of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Qualification information scanned copy of affidavit and undertaking as specified in Clause 4 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking that the bid shall remain valid for the period specified in clause 15.1of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other information required to be completed and submitted by bidders as specified in Appendix ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of affidavit affirming that information furnished in bidding document is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.pdf,Form of Bid for Part-II of the bid as specified in Section 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Priced bill of quantities for items specified in Section 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
