S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,"19,100",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,C/o Jagtari Tandrah nallah km 0/0 to 1/0,(SH- P/L Kharanja stone soling at Re 0/0 to 0/750),Please refer Tender documents. ,NA ,"9,53,938",Civil Works - Roads,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,E E HPPWD ROHRU,No ,No,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,28-May-2022 06:30 PM,06-Jun-2022 11:00 AM,28-May-2022 06:30 PM,04-Jun-2022 06:00 PM,NA ,NA ,28-May-2022 06:30 PM,04-Jun-2022 06:00 PM,15-Jun-2022 03:05 PM,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,PWD,PW-RD-GA-T-22604-10dt31-3-22,2022_PWD_61200_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,PAWAN KUMAR,Internal,AE TO EE,Duni Chand Chauhan,15-Jun-2022 03:03 PM,15-Jun-2022 03:05 PM,techsummary_92377.pdf (62.46 KB),PWD,2022_PWD_61200_7,PW-RD-GA-T-22604-10dt31-3-22,C/o Jagtari Tandrah nallah km 0/0 to 1/0,04-Sep-2022,"INR 844,767",60.0,Pawan Kumar Garg,04-Sep-2022 11:26 AM,CCF_000358.pdf (290.00 KB),AOC,PAWAN KUMAR,Internal,Ranvir Chauhan,Duni Chand Chauhan,26-Jul-2022 06:29 PM,finsummary_92377.pdf (495.62 KB),1.0,285194.0,Pankaj,INR,"866,251",Finance,Bid Opening Summary,Pawan Kumar Garg,15-Jun-2022 04:15 PM,finance_92377.pdf,BOQ Comparative Chart,1.0,285198.0,Hukam Chand,03-Jun-2022 04:16 PM,Rejected-Finance,2nd lowest,26-Jul-2022 06:29 PM,Technical,Bid Opening Summary,Duni Chand Chauhan,15-Jun-2022 02:52 PM,technical_92377.pdf,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,285194.0,Pankaj,03-Jun-2022 04:32 PM,Accepted-AOC,Woerk completed,04-Sep-2022 11:26 AM,,,,,,AOC
,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"physical submission submit should be compalsory otherwise tender will be rejected,UTR No copy should",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
