S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,500.0,Nil,Nil,No,PWD,PWD- Civil-17-8-Tanda,2022_PWD_63758_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Aug-2022 10:40 AM,27-Aug-2022 11:00 AM,17-Aug-2022 10:40 AM,27-Aug-2022 09:00 AM,NA ,NA ,17-Aug-2022 10:40 AM,27-Aug-2022 09:00 AM,02-Sep-2022 10:00 AM,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"33,800",No,fixed,,Nil,Nil,Construction of Library-Cum-Computer Centre Block in Rajiv Ghandi Govt. Engineering College Kangra at Nagrota Bagwan in Distt Kangra (HP)(SH-Balance work of providing and laying interlocking paver block in parking Area).,Construction of Library-Cum-Computer Centre Block in Rajiv Ghandi Govt. Engineering College Kangra at Nagrota Bagwan in Distt Kangra (HP)(SH-Balance work of providing and laying interlocking paver block in parking Area).,Please refer Tender documents. ,NA ,"16,90,045",Civil Works,NA ,Tender,120.0,60.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,AOC,PWD,2022_PWD_63758_1,PWD- Civil-17-8-Tanda,Construction of Library-Cum-Computer Centre Block in Rajiv Ghandi Govt. Engineering College Kangra at Nagrota Bagwan in Distt Kangra (HP)(SH-Balance work of providing and laying interlocking paver block in parking Area).,Dr Suresh kumar walia,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,31-Aug-2022 04:57 PM,02-Sep-2022 10:00 AM,techsummary_96069.pdf (1245.72 KB),Dr Suresh kumar walia,Internal,AE Supdt HDM DAO,Suresh Kumar Walia,05-Sep-2022 12:32 PM,finsummary_96069.pdf (18.53 KB),05-Sep-2022,"INR 1,690,045",60.0,Suresh Kumar Walia,05-Sep-2022 12:34 PM,aWARD.pdf (274.00 KB),Award,1.0,296633.0,atul thakur,21-Aug-2022 07:18 AM,Rejected-Technical,Not Fulfill criteria,31-Aug-2022 04:57 PM,Technical,SUM,Suresh Kumar Walia,31-Aug-2022 03:26 PM,None,Finance,sum,Suresh Kumar Walia,05-Sep-2022 12:30 PM,finance_96069.pdf,BOQ Comparative Chart,1.0,296812.0,sahil choudhary govt contractor,INR,"1,697,798",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,297207.0,MANJEET SINGH GOVT CONTRACTOR,27-Aug-2022 08:26 AM,Rejected-Finance,Lowest 3,05-Sep-2022 12:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No, Pan No and EPF No",AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,297173.0,poonam rana,26-Aug-2022 01:00 PM,Rejected-Finance,Lowest 2,05-Sep-2022 12:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,296812.0,sahil choudhary govt contractor,26-Aug-2022 12:31 PM,Accepted-AOC,Award,05-Sep-2022 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
