Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Finance,Summary,Dinesh Kumar Dhiman,06-Sep-2022 04:17 PM,finance_91714.pdf,BOQ Comparative Chart,1.0,283505.0,VIPAN KUMAR GOVT. CONTRACTOR,INR,"1,542,817",Technical,Technical bid opened on 25.05.2022,Dinesh Kumar Dhiman,30-May-2022 06:17 PM,technical_91714.pdf,1.0,283649.0,ashish chaudhry,24-May-2022 04:55 PM,Rejected-Finance,Highest Bidder,06-Sep-2022 04:22 PM,06-Sep-2022,"INR 1,845,467",30.0,Dinesh Kumar Dhiman,06-Sep-2022 04:26 PM,Award60703_5.pdf (654.00 KB),Work award issued,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,06-Sep-2022 04:22 PM,finsummary_91714.pdf (185.45 KB),EE Dehra,Internal,"HDM, Supdt, DOA",Dinesh Kumar Dhiman,30-May-2022 06:31 PM,30-May-2022 06:50 PM,techsummary_91714.pdf (291.45 KB),PWD,2022_PWD_60703_5,EE Dehra Letter No.1277-82 dated 05.05.2022,C/o link road to Didu in GP Khabli in Km 0/00 to 1/200,AOC,"37,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,PWD,EE Dehra Letter No.1277-82 dated 05.05.2022,2022_PWD_60703_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,C/o link road to Didu in GP Khabli in Km 0/00 to 1/200,"Formation cutting at RD 0/300 to 0/405, P/L GSB,G-II,G-III, Metalling and Tarring at RD 0/200 to 0/700, HP culvert 0/200, 0/300 and 0/660",Please refer to tender documents  ,NA ,"18,45,467",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,17-May-2022 05:30 PM,25-May-2022 11:30 AM,17-May-2022 05:30 PM,24-May-2022 06:00 PM,17-May-2022 05:30 PM ,21-May-2022 05:00 PM ,17-May-2022 05:30 PM,24-May-2022 06:00 PM,30-May-2022 06:50 PM,Executive Engineer,HPPWD Division Dehra,AOC
,,,,,,,,,,,,,,,,2.0,283505.0,VIPAN KUMAR GOVT. CONTRACTOR,24-May-2022 04:08 PM,Accepted-AOC,L1,06-Sep-2022 04:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
