Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,1.0,ICICI BANK,PWD,EE Dalhousie letter No. 3819-3869 dated 08-06-2022,2022_PWD_61804_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,00,150",No,fixed,,Nil,Nil,"Construction of road from Daballa Danga, Katori Banglow, Bhorn Jeeran via Dibber Khola Ghatyari, Jod, Bhanera Chamber Dher Charmani Sunagar, Lari, Dabli Gochar with Bridges in km. 0/0 to 6/500",/7 mtr. Wide Formation cutting in km. 0/0 to 6/500) Portion Daballa Danga to Dibber Khola),Please refer Tender documents. ,NA ,"50,06,975",Civil Works,NA ,Tender,75.0,180.0,Dalhousie,176304.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Dalhousie,No ,No,Executive Engineer,Executive Engineer HPPWD Division Dalhousie,17-Jun-2022 12:00 PM,27-Jun-2022 11:30 AM,17-Jun-2022 12:00 PM,27-Jun-2022 11:00 AM,NA ,NA ,17-Jun-2022 12:00 PM,27-Jun-2022 11:00 AM,05-Jul-2022 11:30 AM,"2,000",Nil,Nil,No,PWD,2022_PWD_61804_1,EE Dalhousie letter No. 3819-3869 dated 08-06-2022,"Construction of road from Daballa Danga, Katori Banglow, Bhorn Jeeran via Dibber Khola Ghatyari, Jod, Bhanera Chamber Dher Charmani Sunagar, Lari, Dabli Gochar with Bridges in km. 0/0 to 6/500",Executive Engineer,Internal,Tender Assistant Superintendent HDM DAO,Deepak Mahajan,01-Jul-2022 04:47 PM,05-Jul-2022 11:30 AM,techsummary_93246.pdf (78.03 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,17-Aug-2022 04:06 PM,finsummary_93246.pdf (19.07 KB),16-Sep-2022,"INR 3,504,881.61",180.0,Harsh Puri,27-Jul-2023 05:25 PM,aoc.pdf (753.00 KB),AOC,1.0,288546.0,Alpna Sharma,26-Jun-2022 01:15 PM,Accepted-AOC,Work completed,27-Jul-2023,Technical,Bid Opening summary,Deepak Mahajan,01-Jul-2022 04:31 PM,technical_93246.pdf,Finance,Bid opening Summary,Deepak Mahajan,17-Aug-2022 04:01 PM,finance_93246.pdf,BOQ Comparative Chart,1.0,288546.0,Alpna Sharma,INR,"3,504,881.61"
,,.pdf,Earnest Money from only online mode through E-payment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,288593.0,AVINASH SINGH THAKUR,26-Jun-2022 09:43 PM,Rejected-Finance,Other Than Lowest,17-Aug-2022,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,287812.0,Gargesh Kumar,27-Jun-2022 10:46 AM,Rejected-Finance,Other Than Lowest,17-Aug-2022,,,,,,,,,,,,,,,,
,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,288580.0,Jagdish Chander Thakur,26-Jun-2022 07:14 PM,Rejected-Finance,Other Than Lowest,17-Aug-2022,,,,,,,,,,,,,,,,
,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,288523.0,roshan lal thaur,25-Jun-2022 10:39 PM,Rejected-Technical,Non responsive,01-Jul-2022,,,,,,,,,,,,,,,,
,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List of technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"List of Machinery i.e. JCB, Air Compressor and Tipper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
