Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. K. K. Kaushal S.E.,Internal,"Sh. Sushil Kumar Divisional Accounts Officer Gr.I HPPWD Sunder Nagar Division, Er. Devi Ram Chauhan EE HPPWD Sunder Nagar Division, Er. Jagesh Vaidya EED 1st Circle HPPWD Mandi",Krishan Kumar Kaushal,15-Sep-2022 11:34 AM,finsummary_94004.pdf (6012.31 KB),15-Sep-2022,"INR 69,931,103",545.0,Krishan Kumar Kaushal,19-Sep-2022 01:19 PM,LOA_BHADROLU.pdf (370.00 KB),SE 1st Circle HPPWD Mandi Letter No. PW-SEI-107-Tender-NABARD RIDF-XXV-SNR/2022- 14871-77 15-09-2022.,PWD,2022_PWD_62334_1,PW-SNR-E-Ten/22-5417-27 dt28.6.22,"Construction of Bhadrolu to Dharli via Kanda Hiun, Nihari, Kharni, Basahu road KM 0/0 to 13/950 under NABARD RIDF XXV",Er. K. K. Kaushal S.E.,Internal,"Sh. Sushil Kumar Divisional Accounts Officer Gr.I HPPWD Sunder Nagar Division, Er. Devi Ram Chauhan EE HPPWD Sunder Nagar Division, Er. Jagesh Vaidya EED 1st Circle HPPWD Mandi",Krishan Kumar Kaushal,23-Jul-2022 01:41 PM,28-Jul-2022 11:00 AM,techsummary_94004.pdf (4057.74 KB),1.0,291063.0,Arya Construction Company,INR,"69,931,103",Finance,FBOS,Hitesh Sharma,29-Jul-2022 12:10 PM,finance_94004.pdf,BOQ Comparative Chart,Technical,Ten bids received in 1st call.,Chaman Singh,16-Jul-2022 04:31 PM,technical_94004.pdf,1,291194,Ajmer Singh,15-Jul-2022 12:40 PM,Rejected-Finance,Being Second L1,15-Sep-2022 11:34 AM,AOC,1.0,ICICI BANK,"5,000",EE Sundernagar,Sundernagar,No,O/O Executive Engineer HPPWD Division Sunder Nagar,"Executive Engineer Sundernagar Division, HPPWD Sundernagar",1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD, Form of Bid for Part I of the bid, as per format given in Section 6","19,98,100",No,fixed,,EE Sundernagar,Sundernagar,01-Jul-2022 09:00 AM,16-Jul-2022 11:30 AM,01-Jul-2022 09:00 AM,15-Jul-2022 06:00 PM,NA ,NA ,01-Jul-2022 09:00 AM,15-Jul-2022 06:00 PM,28-Jul-2022 11:00 AM,PWD,PW-SNR-E-Ten/22-5417-27 dt28.6.22,2022_PWD_62334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Construction of Bhadrolu to Dharli via Kanda Hiun, Nihari, Kharni, Basahu road KM 0/0 to 13/950 under NABARD RIDF XXV","SH C/o F/c 5/7 mtr wide, R/wall, B/wall, C.D. works, unlined surface drain and dumping site etc.",As per bid document ,NA ,"9,99,01,576",Civil Works,NA ,Tender,75.0,540.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Superintending Engineer 1st Circle HPPWD Mandi,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,291063,Arya Construction Company,14-Jul-2022 05:01 PM,Accepted-AOC,Being L1,19-Sep-2022 01:20 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Qualification Information (Q.I.) as per section 3 (1.1),(1.2), (1.3.1), (1.3.2), 1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,291244,BHAGASIDH CONSTRUCTION and ENGINEERING PVT LTD,15-Jul-2022 04:41 PM,Rejected-Finance,Being L3,15-Sep-2022 11:34 AM,AOC,,,,,,,,,,,.pdf,"Q.I. as per section 3 (1.4), (1.5), (1.6), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,291444,Bhupinder Paul Mahajan,15-Jul-2022 03:47 PM,Rejected-Finance,Being L5,15-Sep-2022 11:34 AM,AOC,,,,,,,,,,,.pdf,"Q.I. as per section 3 (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,290809,M/S STRIKER & BROS,13-Jul-2022 04:21 PM,Rejected-Finance,Being L2,15-Sep-2022 11:34 AM,AOC,,,,,,,,,,,.pdf,"Q.I. as per ITB Section 24.1.1, 4.2 (a), 4.2 (b), 4.2 (g), 4.2 (h), 4.2 (i), 4.2 (j), 4.2 (k)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,291400,M/S SUKHDEV SHARMA CONTRACTOR,15-Jul-2022 05:10 PM,Rejected-Finance,Being L4,15-Sep-2022 11:34 AM,AOC,,,,,,,,,,,.pdf,"Q.I. as per ITB Section 2 4.4A(a),4.4A(b), 4.4B(a)(i),(ii),4.4B(b)(i),(ii),4.4B(c)(i),(ii)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,290469,Munish kumar sharma,12-Jul-2022 05:19 PM,Rejected-Finance,Being L4,15-Sep-2022 11:34 AM,AOC,,,,,,,,,,,.pdf,Any other information as bidder/firm may likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,291428,Nveen Sharma,15-Jul-2022 02:18 PM,Rejected-Finance,Being Second L1,15-Sep-2022 11:34 AM,AOC,,,,,,,,,2.0,Finance,.pdf,"Form of Bid for Part II of the bid, as per format given in Section 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,291345,Rajneesh Mohan,15-Jul-2022 01:37 PM,Rejected-Finance,Being Second L1,15-Sep-2022 11:34 AM,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,291318,Vijay kumar sharma,15-Jul-2022 02:56 PM,Rejected-Finance,Being Second L1,15-Sep-2022 11:34 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
