Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Executive Engineer,HPPWD Division Dehra,C/o link road Adhe-Di-Hattian to Lahsan in Km. 0/00 to 2/500,"U-Shape drain at RD 0/500 to 0/700, P/L WMM, Prime coat, Tack coat, Premix carpet and Seal coat at RD 0/800 to 1/300 and C.C.Pavement at RD 1/300 to 1/500",Please refer to tender documents ,NA ,"19,37,518",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,EE HPPWD Division Dehra,No ,No,500.0,Nil,Nil,No,1.0,ICICI BANK,"39,000",No,fixed,,Nil,Nil,04-Jul-2022 10:00 AM,12-Jul-2022 11:30 AM,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,NA ,NA ,04-Jul-2022 10:00 AM,11-Jul-2022 06:00 PM,26-Jul-2022 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,PWD,EE Dehra Letter No.2859-64 dt. 15.06.2022,2022_PWD_62396_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,EE Dehra,Internal,"DHD,Supdt,DAO",Dinesh Kumar Dhiman,26-Jul-2022 01:04 PM,26-Jul-2022 02:00 PM,techsummary_94081.pdf (612.38 KB),PWD,2022_PWD_62396_4,EE Dehra Letter No.2859-64 dt. 15.06.2022,C/o link road Adhe-Di-Hattian to Lahsan in Km. 0/00 to 2/500,30-Sep-2022,"INR 1,937,518",30.0,Dinesh Kumar Dhiman,30-Sep-2022 02:19 PM,62396_4Award.pdf (692.00 KB),Work award issued,EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,30-Sep-2022 02:15 PM,finsummary_94081.pdf (176.97 KB),1.0,290890.0,RAJ KUMAR,11-Jul-2022 04:48 PM,Rejected-Finance,Highest Bidder,30-Sep-2022 02:16 PM,Technical,Summary,Dinesh Kumar Dhiman,26-Jul-2022 12:33 PM,technical_94081.pdf,1.0,290876.0,Rakesh Sharma,INR,"1,942,569",Finance,Summary,Dinesh Kumar Dhiman,30-Sep-2022 02:08 PM,finance_94081.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,290876.0,Rakesh Sharma,11-Jul-2022 04:28 PM,Accepted-AOC,L1,30-Sep-2022 02:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration with copy of Return of previous FY,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commentments under Dehra Division.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card with IT Return of previous FY,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF with return of previous FY,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
