Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Bank Name,Tender Stage
02-Sep-2022,"INR 2,743,432",180.0,Ravi Bhatti,07-Sep-2022 11:26 AM,Award.pdf (917.00 KB),Award letter,Er. Ravi Bhatti,Internal,"Hukam Singh, Head Draughtsman, Jia Lal, Draughtsman",Ravi Bhatti,02-Sep-2022 02:40 PM,finsummary_93750.pdf (476.73 KB),Ravi Bhatti Executive Engineer,Internal,"Hukam Singh Thakur, Head D/man, Kewal Ram Beakta, Supdt. Gr-II, Leela Verma, Sr. Asstt.",Rajesh Kumar,14-Jul-2022 11:18 AM,14-Jul-2022 03:00 PM,techsummary_93750.pdf (460.85 KB),PWD,2022_PWD_62150_3,THD/CB-tender/2022-3720-31,"Construction of Stadium Devta Temple Garahneshwar at Deothi G.P. Bagain, Tehsil Theog District Shimla",Finance,Financial Bid Opening summary,Ajay Gazta,16-Jul-2022 01:08 PM,finance_93750.pdf,BOQ Comparative Chart,1.0,288948.0,Gian Chand,INR,"2,741,782",Technical,Bid Opening summary,Ajay Gazta,11-Jul-2022 12:36 PM,technical_93750.pdf,1.0,289681.0,ABHAY MEHTA,02-Jul-2022 02:23 PM,Rejected-Technical,Technically non responsive,14-Jul-2022 11:18 AM,AOC,27-Jun-2022 05:00 PM,04-Jul-2022 11:00 AM,27-Jun-2022 05:00 PM,02-Jul-2022 05:00 PM,NA ,NA ,27-Jun-2022 05:00 PM,02-Jul-2022 05:00 PM,14-Jul-2022 03:00 PM,"55,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Other,,PWD,THD/CB-tender/2022-3720-31,2022_PWD_62150_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,"Construction of Stadium Devta Temple Garahneshwar at Deothi G.P. Bagain, Tehsil Theog District Shimla",Construction of civil work,As per GCC ,NA ,"27,43,432",Civil Works,NA ,Tender,90.0,180.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,Executive Engineer,"Theog Division, HPPWD., Theog Distt. Shimla, HP",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,288948.0,Gian Chand,02-Jul-2022 02:10 PM,Accepted-AOC,Being L1,07-Sep-2022 11:27 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,289592.0,Ramesh Chand Verma,01-Jul-2022 08:50 PM,Rejected-Technical,Technically non responsive,14-Jul-2022 11:18 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,289671.0,ROSHAN LAL,02-Jul-2022 04:51 PM,Rejected-Technical,Technically non responsive,14-Jul-2022 11:18 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.Work in Hand Certificate countersigned by EE.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,289629.0,Sunil Hetta,02-Jul-2022 03:39 PM,Rejected-Finance,Being higher rates,02-Sep-2022 02:40 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,AOC
