Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-4462-70 Dated 18-08-2022,2022_HPSEB_63908_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Sr. Executive Engineer, Electrical Division HPSEBL, Karsog","24,955",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,date corrigendum,Date,,"1,180",Nil,Nil,No,22-Aug-2022 04:30 PM,05-Sep-2022 12:00 PM,22-Aug-2022 05:00 PM,05-Sep-2022 10:30 AM,NA ,NA ,22-Aug-2022 05:00 PM,05-Sep-2022 10:30 AM,07-Sep-2022 03:30 PM,1.0,ICICI BANK,"Tender for clearance on 22KV Ht line Seri Batalabehal feeder from Dhamahar to 3 Pole Structure Seri to Dhamahar ,Manshana in E(S) Seri-2nd under ESD Seri","Tender for clearance on 22KV Ht line Seri Batalabehal feeder from Dhamahar to 3 Pole Structure Seri to Dhamahar ,Manshana in E(S) Seri-2nd under ESD Seri",please refer tender document  ,NA ,"9,98,212",Supply and Erection,Electrical Works ,Tender,180.0,60.0,Seri,175011.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,AOC,Technical,Attached,Sushil Kumar,07-Sep-2022 03:09 PM,technical_96294.pdf,Finance,Attached,Sushil Kumar,21-Sep-2022 03:12 PM,finance_96294.pdf,BOQ Comparative Chart,23-Sep-2022,"INR 998,212",60.0,Sushil Kumar,24-Sep-2022 11:13 AM,Manshana_award.pdf (1788.00 KB),Awarded to M/s Kamaksha Power Project (L-1) Which found lowest,1.0,298267.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,30-Aug-2022 08:41 AM,Accepted-AOC,Awarded to M/s Kamaksha Power Project and construction (L-1) Which found lowest,24-Sep-2022 11:16 AM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,07-Sep-2022 03:25 PM,07-Sep-2022 03:30 PM,techsummary_96294.pdf (445.36 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,23-Sep-2022 01:47 PM,finsummary_96294.pdf (470.50 KB),1.0,298267.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,INR,"800,075",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_63908_1,184619/2022-23-4462-70 Dated 18-08-2022,"Tender for clearance on 22KV Ht line Seri Batalabehal feeder from Dhamahar to 3 Pole Structure Seri to Dhamahar ,Manshana in E(S) Seri-2nd under ESD Seri",AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,299195.0,Koyla Engineering Works,04-Sep-2022 05:24 PM,Rejected-Finance,L3,23-Sep-2022 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,298170.0,VISHAL ELECTRICAL GOVT CONT,04-Sep-2022 05:38 PM,Rejected-Finance,L2,23-Sep-2022 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
