Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,22-Jul-2022 05:00 PM,29-Jul-2022 11:30 AM,22-Jul-2022 05:00 PM,29-Jul-2022 11:00 AM,NA ,NA ,22-Jul-2022 05:00 PM,29-Jul-2022 11:00 AM,01-Aug-2022 01:00 PM,Providing LIS Bella (Bikram Bag) in Tehsil Nahan Distt. Sirmour HP,C/o 2 No RCC sumpwell 40000 ltrs cap. And 75000 ltrs cap. And C/O pump house) under SCDP,Please refer Tender documents. ,NA ,"12,39,496",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 8324-84 dt 21/07/22,2022_HPIPH_62956_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"24,800",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,ICICI BANK,AOC,ER Ashish Rana EE,Internal,Ta Supdt HDM DAO EE,Ashish Rana,01-Aug-2022 01:24 PM,finsummary_94931.pdf (344.13 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_62956_2,NHN-SMROO-722- 8324-84 dt 21/07/22,Providing LIS Bella (Bikram Bag) in Tehsil Nahan Distt. Sirmour HP,1.0,293155.0,Naushad Ali,INR,"775,812",Technical,Technical Bid Summary,Ashish Rana,01-Aug-2022 12:54 PM,technical_94931.pdf,Finance,Financial Summary,Ashish Rana,01-Aug-2022 01:15 PM,finance_94931.pdf,BOQ Comparative Chart,01-Sep-2022,"INR 1,239,496",90.0,Ashish Rana,01-Sep-2022 03:51 PM,AOC.pdf (604.00 KB),Award to Contrator,1.0,293094.0,ABHIMANYU CHOUDHARY,27-Jul-2022 09:43 AM,Rejected-Finance,Reject,01-Aug-2022 01:24 PM,ER Ashish Rana EE,Internal,Ta Supdt HDM DAO EE,Ashish Rana,01-Aug-2022 12:58 PM,01-Aug-2022 01:00 PM,techsummary_94931.pdf (317.21 KB),AOC
,,.pdf,Cost of TEnder Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,293293.0,Anshul Walia,28-Jul-2022 10:57 AM,Rejected-Finance,Reject,01-Aug-2022 01:24 PM,,,,,,,,AOC
,,.pdf,Registration in HPJSV in valid class as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,293328.0,M/S Sharma Enterpirses,29-Jul-2022 08:39 AM,Rejected-Finance,Reject,01-Aug-2022 01:24 PM,,,,,,,,AOC
,,.pdf,EPF registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,293155.0,Naushad Ali,28-Jul-2022 12:11 PM,Accepted-AOC,AOC,01-Sep-2022 03:52 PM,,,,,,,,AOC
,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,293480.0,tanushree trader,29-Jul-2022 10:46 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Aug-2022 12:54 PM,,,,,,,,AOC
,,.pdf,Undertaking joint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking carefully study all terms and condition as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
