Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,Technical Bid Evaluation Report,Suresh Mahajan,26-Feb-2022 04:35 PM,technical_81998.pdf,Finance,Minutes of Meeting,Suresh Mahajan,28-Sep-2022 12:58 PM,finance_81998.pdf,BOQ Comparative Chart,28-Sep-2022,"INR 1,599,664,171",730.0,Suresh Mahajan,28-Sep-2022 01:04 PM,LOAMZ01.pdf (495.00 KB),LOA,1.0,258859.0,M/S GA INFRA PVT LTD,28-Jan-2022 12:53 PM,Rejected-Finance,L2,28-Sep-2022 01:03 PM,E in C Project JSV Mandi,Internal,CE PMU JSV Mandi CE MZ JSV Mandi SE PMU JSV Mandi SE Circle Kullu EE E in C P JSV Mandi EE Division Kullu EE PMU JSV Mandi Dy Controller PMU JSV Mandi,Suresh Mahajan,26-Feb-2022 04:41 PM,02-Mar-2022 02:30 PM,techsummary_81998.pdf (2788.83 KB),HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_54719_1,2733-82,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Kullu,1.0,255675.0,Unipro Techno Infrastructure Pvt Ltd,INR,"1,444,851,852",ENCP JSV mandi,Internal,CE PMU CE MZ SE Kullu SE PMU SE ENCP EE ENCP EE PMU EE Anni EE Kullu II EE Kullu I Dy controller,Suresh Mahajan,28-Sep-2022 01:02 PM,finsummary_81998.pdf (1881.89 KB),AOC,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Kullu,Design Build including Civil works and Operation and Maintenance for 5 years of Rural Water Supply Scheme at District Kullu,Please refer Tender Documents ,NA ,"1,22,46,40,000",Civil Works,NA ,Tender,120.0,730.0,Kullu,175101.0,CE PMU JSV Mandi ,CE PMU JSV Tarna Mandi ,04-Jan-2022 03:00 PM ,CE PMU JSV Mandi,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Form cost,"2,500",CE PMU JSV,Mandi,No,"1,22,50,000",Yes,fixed,,CE PMU JSV,Mandi,1.0,Corrigendum 2,BOQ,,16-Dec-2021 06:55 PM,28-Jan-2022 03:30 PM,16-Dec-2021 06:55 PM,28-Jan-2022 03:00 PM,NA ,NA ,13-Jan-2022 11:00 AM,28-Jan-2022 03:00 PM,02-Mar-2022 02:30 PM,1.0,ICICI BANK,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2733-82,2021_HPIPH_54719_1,Yes,Global Tenders,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,CE PMU JSV Mandi,CE PMU JSV Mandi,AOC
,,,,,,,,,,,,,,,,,,2.0,259086.0,R.G. INDUSTRIES,28-Jan-2022 02:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2022 04:35 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money/ Bid Security,,,,,,,,,,,2.0,Corrigendum 4,Date,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,255675.0,Unipro Techno Infrastructure Pvt Ltd,26-Jan-2022 12:47 PM,Accepted-AOC,Accepted,28-Sep-2022 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST EPF,,,,,,,,,,,3.0,Corrigendum 3,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last 3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Documentary evidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Written confirmation authorizing the signatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking that I have carefully studied all terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Bid form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of technical bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal in accordance to ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Signed/Scanned copy of BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
