Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
EE,Internal,SupdtDHDSDAOAE,Deepak Kapil,24-Jun-2022 03:41 PM,finsummary_88388.pdf (136.45 KB),31-Aug-2022,"INR 15,217,311",546.0,Deepak Kapil,03-Sep-2022 04:29 PM,14407-11dt31-08-22.pdf (855.00 KB),Award letter,PWD,2022_PWD_58434_1,ParkingMCGhumarwin,ParkingMCGhumarwin,ee,Internal,SupdtDHDSRDAOAE,Deepak Kapil,18-Apr-2022 03:50 PM,19-Apr-2022 11:00 AM,techsummary_88388.pdf (456.43 KB),Technical,Techncialevaluation,Deepak Kapil,18-Apr-2022 03:49 PM,technical_88388.pdf,1.0,274182.0,Ramesh Kumar Sharma,03-Apr-2022 03:19 PM,Accepted-AOC,performance guarantee deposited due to the emd is released,03-Sep-2022 04:32 PM,1.0,274182.0,Ramesh Kumar Sharma,INR,"15,206,476",Finance,Fin.evaluation,Deepak Kapil,24-Jun-2022 03:36 PM,finance_88388.pdf,BOQ Comparative Chart,AOC,"1,83,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,ParkingMCGhumarwin,2022_PWD_58434_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and EM (Proforma of Schedules),ParkingMCGhumarwin,Building work,Please refer Tender documents. ,NA ,"1,50,06,476",Civil Works,NA ,Tender,75.0,548.0,Ghumarwin,174021.0,EE GHU Dvin HPPWD GHU ,EE GHU Dvin HPPWD GHU ,02-Apr-2022 11:00 AM ,EE GHU Dvin HPPWD GHU,No ,No,24-Mar-2022 10:00 AM,04-Apr-2022 11:00 AM,24-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,24-Mar-2022 10:00 AM ,04-Apr-2022 10:00 AM ,24-Mar-2022 10:00 AM,04-Apr-2022 10:00 AM,19-Apr-2022 11:00 AM,EE GHU Dvin HPPWD GHU,EE GHU Dvin HPPWD GHU,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274596.0,Subham Mahajan,03-Apr-2022 02:40 PM,Rejected-Finance,Being L-2 the emd is released,24-Jun-2022 03:41 PM,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,,,.pdf,Contr Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274806.0,Vijayender Singh Chandel,03-Apr-2022 02:33 PM,Rejected-Finance,Being L-3 the emd is released,24-Jun-2022 03:41 PM,,,,,,,,,,,,AOC,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No ,Pan No. and EPF No(General Rules No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done for last 05years and work in Hand Certi dully signed by concerned. Autho/EE (Gen. Rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plants and Laboratory Equipment etc. (as shown in Schedule-F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,6,Certificate Details ,Partnership Deed ,Partnership Deed ,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form 7, 8 dully signed by Contractor with seal (Refer schedule A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,7,Certificate Details ,Character Certificate ,Character Certificate ,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Financial Turnover for at least Five years dully verified/checked by the Charted-Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,8,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,.pdf,Original documents before scheduled time of opening time of technical bids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,9,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,,,,,,,,,,,,,,,,,,,.pdf,All GCC will be applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,10,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
