Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Public Works Roads Department,CT-12/NIT/2019/33 dated 19.08.2020,2020_PWD_18490_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,74,000",Yes,fixed,,"Superintending Engineer, PWD(Roads), WAC, Goalpara",Goalpara,Construction of Nowagaon Rangapani Road (Ch. 14000.00 to 15500.00m) under SOPD-G for the year 2020-21. Package No.SOPD(G)_WAC_67.,Construction of Nowagaon Rangapani Road (Ch. 14000.00 to 15500.00m) under SOPD-G for the year 2020-21. Package No.SOPD(G)_WAC_67.,Please refer Tender documents. ,NA ,"87,00,000",Construction Works,NA ,Tender,90.0,180.0,Abhayapuri North,783121.0,NA ,NA ,NA ,"O/O Superintending Engineer, PWD(Roads), WAC, Glp",No ,No,1.0,DD - Demand Draft,22-Aug-2020 04:00 PM,14-Sep-2020 10:00 AM,22-Aug-2020 04:00 PM,11-Sep-2020 02:00 PM,NA ,NA ,22-Aug-2020 04:00 PM,11-Sep-2020 02:00 PM,24-Sep-2020 02:05 PM,"3,000","Empowered Officer, ASRB, A/C No.10566991479",GUWAHATI,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid,Superintending Engineer,"O/O Superintending Engineer, PWD(Roads), WAC, Goalpara",AOC,Technical,11 bids admitted,SHASHI MOHAN NATH,24-Sep-2020 01:59 PM,technical_28512.pdf,SE,Internal,"SE, AEE, JE",Dalim Kalita,09-Sep-2022 02:26 PM,finsummary_28512.pdf (2587.92 KB),09-Sep-2022,INR 8700000.0,180.0,Dalim Kalita,09-Sep-2022 02:28 PM,FWO_67.pdf (569.00 KB),1.0,88032.0,Arup Kr Nath,INR,8260127.0,S M Nath,Internal,"SE, AEE, JE",SHASHI MOHAN NATH,24-Sep-2020 02:00 PM,24-Sep-2020 02:05 PM,techsummary_28512.pdf (1871.00 KB),1,88032,Arup Kr Nath,10-Sep-2020 09:43 PM,Accepted-AOC,L1,09-Sep-2022 02:30 PM,Public Works Roads Department,2020_PWD_18490_5,CT-12/NIT/2019/33 dated 19.08.2020,Construction of Nowagaon Rangapani Road (Ch. 14000.00 to 15500.00m) under SOPD-G for the year 2020-21. Package No.SOPD(G)_WAC_67.,Finance,11 bids admitted,Dalim Kalita,09-Sep-2022 02:21 PM,finance_28512.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,.pdf,Bid Security,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,87910,Build worth Trade Engineers,09-Sep-2020 03:31 PM,Rejected-AOC,L6,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,.pdf,Technical Qualification,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87953,DHANESWAR MUCHAHARY,10-Sep-2020 08:10 AM,Rejected-AOC,L10,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87999,GOBINDA DAS,10-Sep-2020 03:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Sep-2020 01:59 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,87968,Gul kr Wary,10-Sep-2020 01:18 PM,Rejected-AOC,L8,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,87905,Imran Hussain,09-Sep-2020 02:33 PM,Rejected-AOC,L5,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,88012,kamalchgoyary,11-Sep-2020 11:00 AM,Rejected-AOC,L4,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,87919,M/S MANJULA CONSTRUCTION,09-Sep-2020 05:08 PM,Rejected-AOC,L10,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,88021,PADMAVATI CONSTRUCTION,10-Sep-2020 07:53 PM,Rejected-AOC,L9,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,87886,RABIN CHANDRA SARKAR,10-Sep-2020 01:33 PM,Rejected-AOC,L3,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,88050,Ritu Kumar Das,11-Sep-2020 12:39 AM,Rejected-AOC,L2,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,87911,Rudra Kumar Pathak,10-Sep-2020 08:26 PM,Rejected-AOC,L7,09-Sep-2022 02:30 PM,,,,,,,,,,,AOC
