S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,294244.0,Sohan lal,INR,"7,099,891",Finance,Summary,Suresh Kumar Dhiman,20-Aug-2022 05:04 PM,finance_95211.pdf,BOQ Comparative Chart,Technical,Summary,Suresh Kumar Dhiman,05-Aug-2022 04:24 PM,technical_95211.pdf,1.0,294211.0,BHARTI DEVI,03-Aug-2022 10:25 PM,Rejected-Finance,2.0,20-Aug-2022 05:09 PM,20-Sep-2022,"INR 7,099,891",365.0,Suresh Kumar Dhiman,20-Sep-2022 11:44 AM,sohanlal.pdf (384.00 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,20-Aug-2022 05:09 PM,finsummary_95211.pdf (295.00 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,05-Aug-2022 04:25 PM,05-Aug-2022 04:30 PM,techsummary_95211.pdf (431.31 KB),PWD,2022_PWD_63159_1,MDII,C/O Veterinary Hospital at Talyahar Tehsil Sadar Distt.Mandi HP,AOC,1.0,ICICI BANK,27-Jul-2022 06:00 PM,04-Aug-2022 11:30 AM,27-Jul-2022 06:00 PM,04-Aug-2022 10:00 AM,NA ,NA ,27-Jul-2022 06:00 PM,04-Aug-2022 10:00 AM,05-Aug-2022 04:30 PM,"1,55,650",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F), Earnest money",PWD,MDII,2022_PWD_63159_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,C/O Veterinary Hospital at Talyahar Tehsil Sadar Distt.Mandi HP,"C/O building portion WS AND SI Rain water harvesting system, septic tank, boundary wall and site development)",Please refer Tender documents. ,NA ,"77,80,702",Civil Works,NA ,Tender,75.0,365.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,"2,000",Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,2.0,294184.0,GIRDHARI LAL,03-Aug-2022 09:25 PM,Rejected-Finance,5.0,20-Aug-2022 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,293931.0,GOBIND RAM,03-Aug-2022 11:31 AM,Rejected-Finance,6.0,20-Aug-2022 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN Card ,GST(General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,293943.0,Parven Vaidya,02-Aug-2022 12:58 PM,Rejected-Finance,3.0,20-Aug-2022 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,293963.0,pawan kumar govt. contractor,04-Aug-2022 06:41 AM,Rejected-Finance,4.0,20-Aug-2022 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,294091.0,RAJAT GAUTAM,03-Aug-2022 06:01 PM,Rejected-Finance,7.0,20-Aug-2022 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7.0,294244.0,Sohan lal,04-Aug-2022 09:22 AM,Accepted-AOC,1.0,20-Sep-2022 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
