S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,04-Dec-2021 02:10 PM,17-Dec-2021 11:00 AM,04-Dec-2021 02:10 PM,16-Dec-2021 06:00 PM,NA ,NA ,04-Dec-2021 02:10 PM,16-Dec-2021 06:00 PM,22-Dec-2021 04:40 PM,PWD,PW-KD-E-Tender/2021-22-4824-26 dt 18-11-2021,2021_PWD_54323_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender,"7,91,893",No,fixed,,Nil,Nil,C/o Chaithla Kadyog Nagpuri via Jalath Road in K.M. 0/00 to 8/505,"Protection work, cross drainage works and M/T work, V-Shape drain, Crash barrier, road furniture at R.D. 0/00 to 8/505 under NABARD RIDF-XXVII",Please refer Tender documents. ,NA ,"7,59,39,321",Civil Works - Roads,NA ,Tender,90.0,540.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,"5,000",Nil,Nil,No,Executive Engineer,HPPWD Division Kotkhai,AOC,1.0,250042.0,Dixit Keprate,16-Dec-2021 02:32 PM,Rejected-Finance,L2 BIDDER,30-Dec-2021 02:52 PM,Technical,SUMMARY UPLOADED,Ramesh Rana,22-Dec-2021 04:35 PM,technical_81359.pdf,Finance,summary uploaded,Ramesh Rana,30-Dec-2021 02:48 PM,finance_81359.pdf,BOQ Comparative Chart,1.0,250089.0,Vishal Shankta,INR,"66,273,501",PWD,2021_PWD_54323_1,PW-KD-E-Tender/2021-22-4824-26 dt 18-11-2021,C/o Chaithla Kadyog Nagpuri via Jalath Road in K.M. 0/00 to 8/505,Executive Engineer,Internal,"XEN, AE, HDM, Supdt. Sr. Asstt.",Ramesh Rana,22-Dec-2021 04:36 PM,22-Dec-2021 04:40 PM,techsummary_81359.pdf (440.13 KB),Executive Engineer,Internal,"XEN, AE, HDM, Superintendent Grade-II, Sr. Asstt.",Ramesh Rana,30-Dec-2021 02:52 PM,finsummary_81359.pdf (195.47 KB),07-Sep-2022,"INR 75,939,321",540.0,Ramesh Rana,07-Sep-2022 01:50 PM,1.pdf (2305.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,249088.0,S.S.Chauhans Construction Private Limted,16-Dec-2021 04:15 PM,Rejected-Finance,L3 BIDDER,30-Dec-2021 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,250089.0,Vishal Shankta,16-Dec-2021 04:51 PM,Accepted-AOC,Tender awarded to lowest bidder,07-Sep-2022 01:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Constitution or legal status, Registration and power of attorney etc. as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Value of Construction in Last 5 year (5 year Turn over by CA) as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work performed as prime contractor (similar nature of work in last 5 year) as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of works in hand or existing commitments. as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of equipments ( machinery). as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
