Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
05-Sep-2022,"INR 2,577,465",90.0,Suresh Kumar Walia,05-Sep-2022 12:24 PM,aWARD.pdf (233.00 KB),Award,Dr Suresh Kumar walia,Internal,AE DAO Supdt HDM,Ankit Kumar,30-Aug-2022 10:58 AM,finsummary_95137.pdf (191.94 KB),Executive Engineer,Internal,AE DAO SUpdt HDM,Suresh Kumar Walia,17-Aug-2022 02:45 PM,22-Aug-2022 10:00 AM,techsummary_95137.pdf (1987.95 KB),PWD,2022_PWD_63095_1,PWD- Civil-26-7-Tanda,Construction of 120 Nos Hostel for Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Providing and laying CRS sheet Almirah etc),Technical,sum,Suresh Kumar Walia,17-Aug-2022 02:43 PM,technical_95137.pdf,1.0,293833.0,AKSHAY Sharma,05-Aug-2022 09:19 PM,Rejected-Finance,Lowest 3,30-Aug-2022 10:58 AM,Finance,sum,Ankit Kumar,30-Aug-2022 10:53 AM,finance_95137.pdf,BOQ Comparative Chart,1.0,293997.0,VIJAY KUMAR BATRA GOVT CONTRACTOR,INR,"2,021,382",AOC,26-Jul-2022 03:00 PM,06-Aug-2022 11:30 AM,26-Jul-2022 03:00 PM,06-Aug-2022 10:00 AM,NA ,NA ,26-Jul-2022 03:00 PM,06-Aug-2022 10:00 AM,22-Aug-2022 10:00 AM,Construction of 120 Nos Hostel for Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Providing and laying CRS sheet Almirah etc),Construction of 120 Nos Hostel for Dr R.P. Govt. Medical College at Tanda in Distt Kangra (HP) (SH-Providing and laying CRS sheet Almirah etc),Please refer Tender documents. ,NA ,"25,77,465",Civil Works - Buildings,NA ,Tender,120.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,"52,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,PWD,PWD- Civil-26-7-Tanda,2022_PWD_63095_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,1.0,ICICI BANK,"1,500",Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,294359.0,Anand Enterprises,04-Aug-2022 05:25 PM,Rejected-Finance,Lowest 2,30-Aug-2022 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,294600.0,ONAM SHARMA,05-Aug-2022 09:10 PM,Rejected-Finance,Lowest 4,30-Aug-2022 10:58 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN No, GST No, EPF No",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,293997.0,VIJAY KUMAR BATRA GOVT CONTRACTOR,04-Aug-2022 05:53 PM,Accepted-AOC,Award,05-Sep-2022 12:24 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,294128.0,VISHL DOGRA,03-Aug-2022 02:55 PM,Rejected-Technical,Not Fulfill Criteria,17-Aug-2022 02:45 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
