S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,268051.0,M/S PARASKAR CONSTRUCTION,INR,"9,629,816",Finance,Summary,Prithi Pal Singh,24-Mar-2022 04:02 PM,finance_86355.pdf,BOQ Comparative Chart,Technical,Summary,Prithi Pal Singh,10-Mar-2022 06:28 PM,technical_86355.pdf,1.0,268051.0,M/S PARASKAR CONSTRUCTION,05-Mar-2022 04:10 PM,Accepted-AOC,Responsive,13-Sep-2022 11:14 AM,13-Sep-2022,"INR 9,629,816",180.0,Prithi Pal Singh,13-Sep-2022 11:12 AM,AOC.pdf (961.00 KB),AOC,Er PP Singh,Internal,BK Goel AE Jagdish Sharma Supdt Gr II Suresh Sharma clerk,Prithi Pal Singh,13-Sep-2022 11:08 AM,finsummary_86355.pdf (448.05 KB),PP Singh,Internal,BK Goel AE Jagdish Sharma Supdt Suresh Sharma Clerk,Prithi Pal Singh,21-Mar-2022 01:21 PM,24-Mar-2022 11:00 AM,techsummary_86355.pdf (411.90 KB),PWD,2022_PWD_57204_2,PW.NH.EE.Ten..2022-63716445 dt 17.2.2022,A.R and M.O on Kalka Shimla Wangtoo road NH 22 New NH 05 KM 155.00 TO 236.00,AOC,A.R and M.O on Kalka Shimla Wangtoo road NH 22 New NH 05 KM 155.00 TO 236.00,SH C.o R.wall B.wall V shape drain cutting on hill side at various RDs between Km 174.00 to 174.520,Please refer Tender documents. ,NA ,"96,32,324",Civil Works - Roads,NA ,Tender,120.0,180.0,NH Theog,171201.0,NA ,NA ,NA ,Executive Engineer NH Division HP PWD Theog,No ,No,"1,28,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,EE NH HP PWD Theog Division,26-Feb-2022 05:00 PM,07-Mar-2022 11:00 AM,26-Feb-2022 05:00 PM,05-Mar-2022 06:00 PM,NA ,NA ,26-Feb-2022 05:00 PM,05-Mar-2022 06:00 PM,24-Mar-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR Number of Payment made against cost of tender form and FDR,PWD,PW.NH.EE.Ten..2022-63716445 dt 17.2.2022,2022_PWD_57204_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,2.0,268105.0,RAJVIR MOTORS,05-Mar-2022 03:45 PM,Rejected-Finance,Non Responsive,13-Sep-2022 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Contractor registration as per clause 4.3 of ITB,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,268129.0,umesh sharma,05-Mar-2022 05:48 PM,Rejected-Technical,Non Responsive,21-Mar-2022 01:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Number, EPF Registration and Pan No.",,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as per Section-6,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Existing commitments and ongoing works as clause No.1.4(A) of Section-2,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General work experience (Work done) as per clause 4.5.3 ITB,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working programme(Proposed work method and schedule) as per clause 4.1 of ITB,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Equipment Capability (List of Machinery) as per clause 4.5.5 of ITB,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial position (liquid Assets/credit facility) as per clause 4.2(i) and 4.3 (G) of ITB,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of Charted Accountant Showing total annual volume in last five years,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding investment a minimum cash upto 25 percent of the value of the work,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authority to seek reference for bidders bankers a per clause 1.10 of Sec.2 and 4.3 (i) of ITB,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Name/address of bidders bankers with the place of registration telephone/Mob. No. of Contractor and,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Litigation history as per clause 1.11 of section-2,,,,,,,,,,,,,,,,,,,AOC
