S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,DD - Demand Draft,Himachal Pradesh Forest Department||Bilaspur Circle - HPFD||Bilaspur Division - HPFD,No. 10973 dated 05.01.2022,2022_FD_55416_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Divisional Forest Officer,"Divisional Forest Officer, Bilaspur Forest Division, Distt. Bilaspur, HP",06-Jan-2022 10:00 AM,14-Jan-2022 11:00 AM,06-Jan-2022 10:00 AM,13-Jan-2022 06:00 PM,NA ,NA ,06-Jan-2022 10:00 AM,13-Jan-2022 06:00 PM,17-Jan-2022 06:45 PM,500.0,DFO Bilaspur,Bilaspur HP,No,"23,500",No,fixed,,DFO Bilaspur,Bilaspur HP,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender and Earnest Money,"Construction of renovation and construction of percolation tank (Pond) at Nihari beat, Nihari Block, (Chanjjar) of Bharari Forest Range under Bilaspur Forest Division, Distt. Bilaspur (H.P.)","Construction of renovation and construction of percolation tank (Pond) at Nihari beat, Nihari Block, (Chanjjar) of Bharari Forest Range under Bilaspur Forest Division, Distt. Bilaspur (H.P.)",Please refer Tender Document ,NA ,"15,56,975",Civil Works,NA ,Tender,60.0,NA ,Bilaspur,174001.0,NA ,NA ,NA ,"Bilaspur Forest Division, Distt. Bilaspur, HP",No ,No,AOC,23-Jan-2022,"INR 1,556,975",60.0,Ashwani Bhushan,11-Sep-2022 05:18 PM,AwardletterWHSChanjjair.PDF (1658.00 KB),Award letter,Finance,Financial Bid Evaluation,Ashwani Bhushan,22-Jan-2022 01:13 PM,finance_83137.pdf,BOQ Comparative Chart,Technical,Tech bid evaluation,Ashwani Bhushan,17-Jan-2022 06:30 PM,technical_83137.pdf,DFO BILASPUR,Internal,ACFDFOBILASPURSUPDTGRIIDFOBILASPURAECCFBILASPUR,Ashwani Bhushan,22-Jan-2022 02:58 PM,finsummary_83137.pdf (831.51 KB),1,255367,Anil Kumar,13-Jan-2022 04:14 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,Himachal Pradesh Forest Department||Bilaspur Circle - HPFD||Bilaspur Division - HPFD,2022_FD_55416_3,No. 10973 dated 05.01.2022,"Construction of renovation and construction of percolation tank (Pond) at Nihari beat, Nihari Block, (Chanjjar) of Bharari Forest Range under Bilaspur Forest Division, Distt. Bilaspur (H.P.)",1.0,255516.0,devender rana,INR,"1,260,547.75",DFO BILASPUR,Internal,ACFDFOBILASPURRFOBHARARIAECCFBILASPUR,Ashwani Bhushan,17-Jan-2022 06:44 PM,17-Jan-2022 06:45 PM,techsummary_83137.pdf (2451.82 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration certificate,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,255400,ARUN CHANDEL,13-Jan-2022 12:55 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and EPF",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,255516,devender rana,13-Jan-2022 05:44 PM,Accepted-AOC,Accepted,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Civil works,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,255323,HARISH KUMAR,13-Jan-2022 03:30 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Tender Form HP.PWD-7/8 and list of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,255494,MANOJ KUMAR,13-Jan-2022 05:00 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit to the support that no near relative of bidder working in the Forest Dept is required,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,255245,Nishant Chauhan,12-Jan-2022 03:44 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness of all documents by bidder.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,255434,PRATEEK THAKUR GOVT CONTRACTOR,13-Jan-2022 04:59 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,255055,Sada Nand,11-Jan-2022 03:43 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,255467,SANJAY VASHISTH,13-Jan-2022 03:58 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,255339,shubh Contractor,12-Jan-2022 09:06 PM,Rejected-AOC,Rejected,11-Sep-2022 05:21 PM,,,,,,,,,,,,,,,,,AOC
