Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",2021_HPIPH_49453_1,NGB-KNG01-773,Jandrah and Multi village Group Piped Water Supply Scheme for Changer Area under Nagrota Bagwan Constituency in Tehsil Baroh District Kangra,1.0,222558.0,KULBINDER SINGH GOVT CONTRACTOR,INR,"1,228,143",Er Rahul Dhiman Xen,Internal,Sh SP Verma sr DAO Smt.Anita Rana Supdt.Gr-II,Rahul Dhiman,14-Oct-2021 12:26 PM,finsummary_74080.pdf (258.83 KB),Er Rahul Dhiman EE,Internal,Sh.SP Verma Smt Anita Rana Smt Kanchan Bala HDM,Rahul Dhiman,29-Jul-2021 01:28 PM,29-Jul-2021 01:30 PM,techsummary_74080.pdf (472.90 KB),1.0,222566.0,GOVT CONTRACTOR,12-Jul-2021 10:48 AM,Rejected-Finance,Highest Amount,14-Oct-2021 12:26 PM,Finance,Financial bid opened on dated 29.07.2021,Rahul Dhiman,14-Oct-2021 12:22 PM,finance_74080.pdf,BOQ Comparative Chart,Technical,Technical bid opened on dated 12.7.21,Rahul Dhiman,29-Jul-2021 01:26 PM,technical_74080.pdf,01-Jan-2022,"INR 1,519,880",180.0,Rahul Dhiman,08-Sep-2022 03:03 PM,Award_J.pdf (673.00 KB),Award Letter,AOC,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Cost of Form (online mode),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",NGB-KNG01-773,2021_HPIPH_49453_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"30,400",No,fixed,,Nil,Nil,400.0,Nil,Nil,No,05-Jul-2021 05:00 PM,12-Jul-2021 11:30 AM,05-Jul-2021 05:00 PM,12-Jul-2021 11:00 AM,NA ,NA ,05-Jul-2021 05:00 PM,12-Jul-2021 11:00 AM,29-Jul-2021 01:30 PM,Er. Rahul Dhiman E.E,JSV Division Nagrota Bagwan,Jandrah and Multi village Group Piped Water Supply Scheme for Changer Area under Nagrota Bagwan Constituency in Tehsil Baroh District Kangra,Jandrah and Multi village Group Piped Water Supply Scheme for Changer Area under Nagrota Bagwan Constituency in Tehsil Baroh District Kangra Sub Head Construction of RCC Under Ground Reservoir,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,180.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,Nagrota Bagwan,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,222558.0,KULBINDER SINGH GOVT CONTRACTOR,12-Jul-2021 10:15 AM,Accepted-AOC,Lowest,08-Sep-2022 03:04 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of EMD (online mode),,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of Enlistment with IPH Deptt./JSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned copy of Income Tax/GST/EPF ESIC/Clearance certificate etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit Undertaking Contractor/firm should not have blacklist from any Govt. Agency.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,DSC authorization/undertaking must upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Curve Chart must upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.pdf,Form6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Termsandcondition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
