Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
EE Shillai,Executive Engineer HP PWD Shillai,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,350.0,Nil,Nil,No,PWD,TA-13680-13779dt-7-1-2022,2022_PWD_55765_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,17-Jan-2022 05:00 PM,24-Jan-2022 12:30 PM,17-Jan-2022 05:00 PM,22-Jan-2022 05:00 PM,NA ,NA ,17-Jan-2022 05:00 PM,22-Jan-2022 05:00 PM,28-Jan-2022 04:15 PM,"12,450",No,fixed,,Nil,Nil,Construction of Dev ka More to Harijan Basti Bobri khodri road km. 0/0 to 6/0(SH-Construction of earthen shoulder both sides of the road from km. 0/0 to 6/0),Construction of Dev ka More to Harijan Basti Bobri khodri road km. 0/0 to 6/0(SH-Construction of earthen shoulder both sides of the road from km. 0/0 to 6/0),please refer to tender document ,NA ,"6,21,927",Civil Works,NA ,Rate Contract,120.0,30.0,Shillai,173025.0,NA ,NA ,NA ,Shillai,No ,No,AOC,1.0,257734.0,DK ENTERPRISE,21-Jan-2022 03:42 PM,Rejected-Finance,Not lowest,21-Mar-2022 04:39 PM,Technical,summary,Pramod Upreti,28-Jan-2022 04:07 PM,technical_83792.pdf,1.0,257597.0,SWARAJ SINGH,INR,"435,332",Finance,financial summary,Pramod Upreti,02-Feb-2022 11:51 AM,finance_83792.pdf,BOQ Comparative Chart,EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,28-Jan-2022 04:10 PM,28-Jan-2022 04:15 PM,techsummary_83792.pdf (1336.81 KB),PWD,2022_PWD_55765_4,TA-13680-13779dt-7-1-2022,Construction of Dev ka More to Harijan Basti Bobri khodri road km. 0/0 to 6/0(SH-Construction of earthen shoulder both sides of the road from km. 0/0 to 6/0),29-Sep-2022,"INR 435,332",30.0,Pramod Upreti,29-Sep-2022 03:13 PM,pbatbhaila.pdf (298.00 KB),AOC,EE Shillai,Internal,"Supdt. HDM, AE Shillai",Pramod Upreti,21-Mar-2022 04:39 PM,finsummary_83792.pdf (719.08 KB),AOC
,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,257261.0,NITIN SHARMA,19-Jan-2022 02:27 PM,Rejected-Finance,Not lowest,21-Mar-2022 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,257729.0,randeep singh,21-Jan-2022 03:26 PM,Rejected-Finance,Not lowest,21-Mar-2022 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,257597.0,SWARAJ SINGH,21-Jan-2022 12:24 PM,Accepted-AOC,AOC,29-Sep-2022 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
